PROPERTY VALUE,ONTOLOGY TERM LABEL(S),CONFIDENCE,ONTOLOGY TERM(S)
Transient global amnesia,amnesia,Good,EFO_1001454
Anosmia,Kallmann syndrome,Medium,Orphanet_478
Anosmia,Johnson neuroectodermal syndrome,Medium,Orphanet_2316
Depression medications,unipolar depression,Good,EFO_0003761
"Acute appendicitis, with complications",appendicitis,Good,EFO_0007149
"Acute appendicitis, no complications",appendicitis,Medium,EFO_0007149
"Acute appendicitis, no complications",acute lymphoblastic leukemia,Medium,EFO_0000220
"Appendicitis, broad definition",appendicitis,Good,EFO_0007149
Other specific arthropathies,Other genetic epidermal disease,Medium,Orphanet_79360
Other specific arthropathies,Other metabolic disease,Medium,Orphanet_91088
Postydysenteric arthropathy,neurogenic arthropathy,Good,EFO_1001378
Asthma-related acute respiratory infections,Recurrent respiratory infections,Medium,HP_0002205
Asthma-related acute respiratory infections,acute respiratory failure,Medium,MONDO_0001208
Asthma and allergy,N/A,Did not map,N/A
Asthma and allergy (more controls excluded),N/A,Did not map,N/A
Childhood asthma (age<16),childhood onset asthma,Medium,EFO_0004591
Childhood asthma (age<16),asthma,Medium,EFO_0000270
Childhood asthma (age<16) (more controls excluded),childhood onset asthma,Medium,EFO_0004591
Childhood asthma (age<16) (more controls excluded),asthma,Medium,EFO_0000270
Suggestive for eosinophilic asthma,asthma,Medium,EFO_0000270
Suggestive for eosinophilic asthma,atopic asthma,Medium,EFO_0010638
"Asthma, hospital admissions , main diagnosis only",asthma,Medium,EFO_0000270
"Asthma, hospital admissions , main diagnosis only",atopic asthma,Medium,EFO_0010638
Asthma-related infections,Prosthesis-Related Infections,Good,EFO_1001406
Asthma mixed form (mode),asthma,Good,EFO_0000270
Asthma mixed form (mode) (more controls excluded),asthma,Good,EFO_0000270
Asthma (mode),asthma,Medium,EFO_0000270
Asthma (mode),atopic asthma,Medium,EFO_0010638
"Asthma, unspecified (mode)",asthma,Medium,EFO_0000270
"Asthma, unspecified (mode)",atopic asthma,Medium,EFO_0010638
"Asthma, unspecified (mode) (more controls excluded)",asthma,Medium,EFO_0000270
"Asthma, unspecified (mode) (more controls excluded)",atopic asthma,Medium,EFO_0010638
Non-allergic asthma,atopic asthma,Good,EFO_0010638
Undetermined asthma,asthma,Good,EFO_0000270
Undetermined asthma (more controls excluded),asthma,Good,EFO_0000270
Obesity related asthma,asthma,Medium,EFO_0000270
Obesity related asthma,obesity,Medium,EFO_0001073
Asthma and opportunit respiratory infection,N/A,Did not map,N/A
Asthma-related pneumonia,pneumonia,Medium,EFO_0003106
Asthma-related pneumonia,viral pneumonia,Medium,EFO_0007541
Asthma-related pneumonia or sepsis,pneumonia,Good,EFO_0003106
Pneumonia derived septichemia,pneumonia,Medium,EFO_0003106
Pneumonia derived septichemia,viral pneumonia,Medium,EFO_0007541
"Atopic  dermatitis, strict definition",recalcitrant atopic dermatitis,Medium,EFO_1000651
"Atopic  dermatitis, strict definition",atopic eczema,Medium,EFO_0000274
"Atopic dermatitis, strict definition with reimbursement",recalcitrant atopic dermatitis,Medium,EFO_1000651
"Atopic dermatitis, strict definition with reimbursement",atopic eczema,Medium,EFO_0000274
"Alcohol use disorder, Swedish definition",alcohol use disorder measurement,Medium,EFO_0009458
"Alcohol use disorder, Swedish definition",alcohol withdrawal delirium,Medium,EFO_1000800
Other specified/unspecified bacterial intestinal infections,intestinal infectious disease,Medium,MONDO_0000916
Other specified/unspecified bacterial intestinal infections,gram-negative bacterial infections,Medium,MONDO_0021678
Bronchitis,bronchitis,Good,EFO_0009661
Malignant neoplasm of bladder,urinary bladder cancer,Good,MONDO_0001187
Malignant neoplasm of bladder (other cancers excluded from controls),urinary bladder cancer,Medium,MONDO_0001187
Malignant neoplasm of bladder (other cancers excluded from controls),gallbladder cancer,Medium,MONDO_0005411
Malignant neoplasm of brain,brain cancer,Good,MONDO_0001657
Malignant neoplasm of brain (other cancers excluded from controls),cerebral ventricle cancer,Good,EFO_0007201
Malignant neoplasm of breast,breast cancer,Good,MONDO_0007254
Malignant neoplasm of breast (other cancers excluded from controls),Malignant Breast Phyllodes Tumor,Good,EFO_0008545
Malignant neoplasm of bronchus and lung,bronchogenic carcinoma,Medium,EFO_1001942
Malignant neoplasm of bronchus and lung,respiratory system disease,Medium,EFO_0000684
Malignant neoplasm of bronchus and lung (other cancers excluded from controls),bronchogenic carcinoma,Medium,EFO_1001942
Malignant neoplasm of bronchus and lung (other cancers excluded from controls),respiratory system disease,Medium,EFO_0000684
Malignant neoplasm,cancer,Medium,EFO_0000311
Malignant neoplasm,childhood cancer,Medium,EFO_1000654
Malignant neoplasm of cervix uteri,cervical cancer,Good,MONDO_0002974
Malignant neoplasm of cervix uteri (other cancers excluded from controls),cervical cancer,Medium,MONDO_0002974
Malignant neoplasm of cervix uteri (other cancers excluded from controls),uterine cervix neoplasm,Medium,MONDO_0021230
Chronic lymphocytic leukaemia,chronic lymphocytic leukemia,Good,EFO_0000095
Chronic lymphocytic leukaemia (other cancers excluded from controls),chronic lymphocytic leukemia,Medium,EFO_0000095
Chronic lymphocytic leukaemia (other cancers excluded from controls),chronic cystitis,Medium,EFO_1000023
Malignant neoplasm of colon,malignant colon neoplasm,Good,MONDO_0021063
Colon adenocarcinoma,colon adenocarcinoma,Medium,EFO_1001949
Colon adenocarcinoma,colorectal adenocarcinoma,Medium,EFO_0000365
Colon adenocarcinoma (other cancers excluded from controls),colon adenocarcinoma,Medium,EFO_1001949
Colon adenocarcinoma (other cancers excluded from controls),colon mucinous adenocarcinoma,Medium,EFO_0000364
Malignant neoplasm of colon (other cancers excluded from controls),colonic neoplasm,Good,EFO_0004288
Colorectal cancer,colorectal cancer,Medium,EFO_0005842
Colorectal cancer,colorectal carcinoma,Medium,EFO_1001951
Colorectal cancer (other cancers excluded from controls),colorectal cancer,Good,EFO_0005842
Malignant neoplasm of other connective and soft tissue,connective and soft tissue neoplasm,Medium,MONDO_0044334
Malignant neoplasm of other connective and soft tissue,benign connective and soft tissue neoplasm,Medium,MONDO_0000654
Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls),connective and soft tissue neoplasm,Medium,MONDO_0044334
Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls),benign connective and soft tissue neoplasm,Medium,MONDO_0000654
Malignant neoplasm of corpus uteri,uterine corpus cancer,Good,EFO_0007532
Malignant neoplasm of corpus uteri (other cancers excluded from controls),uterine corpus cancer,Good,EFO_0007532
Malignant neoplasm of digestive organs,male reproductive organ cancer,Good,EFO_0007355
Malignant neoplasm of digestive organs (other cancers excluded from controls),male reproductive organ cancer,Good,EFO_0007355
Diffuse large B-cell lymphoma,diffuse large B-cell lymphoma,Good,EFO_0000403
Diffuse large B-cell lymphoma (other cancers excluded from controls),diffuse large B-cell lymphoma,Medium,EFO_0000403
Diffuse large B-cell lymphoma (other cancers excluded from controls),Breast Diffuse Large B-Cell Lymphoma,Medium,EFO_1000144
Malignant neoplasm of endocrine gland,malignant endocrine neoplasm,Good,MONDO_0021069
Malignant neoplasm of endocrine gland (other cancers excluded from controls),endocrine neoplasm,Good,EFO_0003769
Malignant neoplasm of eye and adnexa,eye adnexa disease,Good,EFO_0009546
Malignant neoplasm of eye and adnexa (other cancers excluded from controls),eye adnexa disease,Good,EFO_0009546
"Malignant neoplasm of eye, brain and central nervous system",Central Nervous System Neoplasm,Medium,EFO_1000158
"Malignant neoplasm of eye, brain and central nervous system",atypical teratoid rhabdoid tumor,Medium,EFO_1002008
"Malignant neoplasm of eye, brain and central nervous system (other cancers excluded from controls)",Central Nervous System Neoplasm,Medium,EFO_1000158
"Malignant neoplasm of eye, brain and central nervous system (other cancers excluded from controls)",atypical teratoid rhabdoid tumor,Medium,EFO_1002008
malignant neoplasm of female genital organs,female genital tract polyp,Good,EFO_0008622
malignant neoplasm of female genital organs (other cancers excluded from controls),female genital tract polyp,Good,EFO_0008622
"Malignant neoplasm of kidney, except renal pelvis",renal pelvis carcinoma,Good,EFO_0005582
"Malignant neoplasm of kidney, except renal pelvis (other cancers excluded from controls)",renal pelvis carcinoma,Good,EFO_0005582
Malignant neoplasm of larynx,larynx cancer,Good,MONDO_0002352
Malignant neoplasm of larynx (other cancers excluded from controls),laryngeal neoplasm,Good,EFO_0003817
"Malignant neoplasm of lip, oral cavity and pharynx",hypopharynx cancer,Good,EFO_0007321
"Malignant neoplasm of lip, oral cavity and pharynx (other cancers excluded from controls)",hypopharynx cancer,Good,EFO_0007321
Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls),liver neoplasm,Good,EFO_1001513
Malignant neoplasm of liver and intrahepatic bile ducts,liver neoplasm,Good,EFO_1001513
Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls),liver neoplasm,Good,EFO_1001513
Non-small cell lung cancer,non-small cell lung carcinoma,Good,EFO_0003060
Non-small cell lung cancer (other cancers excluded from controls),non-small cell lung carcinoma,Good,EFO_0003060
Secondary and unspecified malignant neoplasm of lymph nodes,secondary Parkinson disease,Good,EFO_1001175
Secondary and unspecified malignant neoplasm of lymph nodes (other cancers excluded from controls),secondary Parkinson disease,Good,EFO_1001175
malignant neoplasm of male genital organs,male reproductive organ cancer,Good,EFO_0007355
malignant neoplasm of male genital organs (other cancers excluded from controls),male reproductive organ cancer,Medium,EFO_0007355
malignant neoplasm of male genital organs (other cancers excluded from controls),male breast carcinoma,Medium,EFO_0006861
Malignant neoplasm of meninges,malignant tumor of meninges,Good,MONDO_0021322
Malignant neoplasm of meninges (other cancers excluded from controls),meningeal neoplasm,Good,EFO_0003851
Mesothelioma,mesothelioma,Good,EFO_0000588
Mesothelioma (other cancers excluded from controls),mesothelioma,Medium,EFO_0000588
Mesothelioma (other cancers excluded from controls),Biphasic Mesothelioma,Medium,EFO_1000124
Melignant neoplasm of mesothelium and soft tissue,N/A,Did not map,N/A
Melignant neoplasm of mesothelium and soft tissue (other cancers excluded from controls),N/A,Did not map,N/A
"Non-small cell lung cancer, adenocarcinoma",non-small cell lung adenocarcinoma,Medium,EFO_0005288
"Non-small cell lung cancer, adenocarcinoma",lung adenocarcinoma,Medium,EFO_0000571
"Non-small cell lung cancer, adenocarcinoma (other cancers excluded from controls)",non-small cell lung adenocarcinoma,Medium,EFO_0005288
"Non-small cell lung cancer, adenocarcinoma (other cancers excluded from controls)",lung adenocarcinoma,Medium,EFO_0000571
"Non-small cell lung cancer, squamous",non-small cell lung carcinoma,Good,EFO_0003060
"Non-small cell lung cancer, squamous (other cancers excluded from controls)",non-small cell lung carcinoma,Good,EFO_0003060
Malignant neoplasm of oesophagus,Malignant Pancreatic Neoplasm,Medium,EFO_1000359
Malignant neoplasm of oesophagus,neoplasm,Medium,EFO_0000616
Malignant neoplasm of oesophagus (other cancers excluded from controls),gum cancer,Medium,EFO_0005557
Malignant neoplasm of oesophagus (other cancers excluded from controls),neoplasm,Medium,EFO_0000616
Other malignant neoplasms of skin (=non-melanoma skin cancer),cutaneous melanoma,Good,EFO_0000389
Other malignant neoplasms of skin (=non-melanoma skin cancer) (other cancers excluded from controls),cutaneous melanoma,Good,EFO_0000389
Malignant neoplasm of ovary,ovarian cancer,Good,MONDO_0008170
Malignant neoplasm of ovary (other cancers excluded from controls),Malignant epithelial tumor of ovary,Medium,Orphanet_398934
Malignant neoplasm of ovary (other cancers excluded from controls),ovarian cancer,Medium,MONDO_0008170
Malignant neoplasm of pancreas,Malignant Pancreatic Neoplasm,Good,EFO_1000359
Malignant neoplasm of pancreas (other cancers excluded from controls),Malignant Pancreatic Neoplasm,Good,EFO_1000359
Malignant neoplasm of prostate,prostate cancer,Good,MONDO_0008315
Malignant neoplasm of prostate (other cancers excluded from controls),prostate adenocarcinoma,Good,EFO_0000673
Malignant neoplasm of rectosigmoid junction,neoplasm,Good,EFO_0000616
Malignant neoplasm of rectosigmoid junction (other cancers excluded from controls),gum cancer,Good,EFO_0005557
Malignant neoplasm of rectum,rectum cancer,Good,EFO_1000657
Malignant neoplasm of rectum (other cancers excluded from controls),rectum cancer,Good,EFO_1000657
Malignant neoplasm of respiratory system and intrathoracic organs,N/A,Did not map,N/A
Malignant neoplasm of respiratory system and intrathoracic organs (other cancers excluded from controls),N/A,Did not map,N/A
Small cell lung cancer,small cell lung carcinoma,Good,EFO_0000702
Small cell lung cancer (other cancers excluded from controls),small cell lung carcinoma,Medium,EFO_0000702
Small cell lung cancer (other cancers excluded from controls),non-small cell lung carcinoma,Medium,EFO_0003060
Secondary malignant neoplasm of other and unspecified sites,lip cancer,Medium,EFO_1001019
Secondary malignant neoplasm of other and unspecified sites,cutaneous melanoma,Medium,EFO_0000389
Secondary malignant neoplasm of other and unspecified sites (other cancers excluded from controls),lip cancer,Medium,EFO_1001019
Secondary malignant neoplasm of other and unspecified sites (other cancers excluded from controls),cutaneous melanoma,Medium,EFO_0000389
"Malignant neoplasm, without specification of site",Malignant Pancreatic Neoplasm,Medium,EFO_1000359
"Malignant neoplasm, without specification of site",neoplasm,Medium,EFO_0000616
"Malignant neoplasm, without specification of site (other cancers excluded from controls)",hypopharynx cancer,Medium,EFO_0007321
"Malignant neoplasm, without specification of site (other cancers excluded from controls)",gum cancer,Medium,EFO_0005557
Malignant neoplasm of skin,skin cancer,Good,MONDO_0002898
Malignant neoplasm of skin (other cancers excluded from controls),skin cancer,Medium,MONDO_0002898
Malignant neoplasm of skin (other cancers excluded from controls),Malignant tumor of palpebral epidermis,Medium,Orphanet_98584
Malignant neoplasm of small intestine,small intestine cancer,Good,MONDO_0000956
Malignant neoplasm of small intestine (other cancers excluded from controls),small intestine cancer,Medium,MONDO_0000956
Malignant neoplasm of small intestine (other cancers excluded from controls),small intestine neoplasm,Medium,MONDO_0004251
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",N/A,Did not map,N/A
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (other cancers excluded from controls)",N/A,Did not map,N/A
Malignant neoplasm of stomach,gastric cancer,Good,MONDO_0001056
Malignant neoplasm of stomach (other cancers excluded from controls),stomach neoplasm,Good,EFO_0003897
Malignant neoplasm of testis,testicular carcinoma,Good,EFO_0005088
Malignant neoplasm of testis (other cancers excluded from controls),testicular carcinoma,Good,EFO_0005088
Malignant neoplasm of thyroid gland,thyroid cancer,Good,MONDO_0002108
Malignant neoplasm of thyroid gland (other cancers excluded from controls),thyroid neoplasm,Good,EFO_0003841
Secondary uncertain malignant neoplasm,secondary malignant neoplasm,Good,EFO_0009812
Secondary uncertain malignant neoplasm (other cancers excluded from controls),secondary malignant neoplasm,Good,EFO_0009812
Malignant neoplasm of urinary organs,Malignant Urinary System Neoplasm,Good,EFO_1000363
Malignant neoplasm of urinary organs (other cancers excluded from controls),Malignant Urinary System Neoplasm,Good,EFO_1000363
Malignant neoplasm of vulva,vulva cancer,Good,MONDO_0001528
Malignant neoplasm of vulva (other cancers excluded from controls),vulva cancer,Medium,MONDO_0001528
Malignant neoplasm of vulva (other cancers excluded from controls),vulvar neoplasm,Medium,MONDO_0021049
Campylobacter enteritis,campylobacteriosis,Good,EFO_0007190
"Cardiac arrhytmias, COPD co-morbidities",Coimbra ecotype,Medium,EFO_0005176
"Cardiac arrhytmias, COPD co-morbidities",cardiac edema,Medium,EFO_1001771
Benign neoplasms,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Adrenal gland,Benign Adrenal Gland Pheochromocytoma,Good,EFO_1000106
Benign neoplasm: Adrenal gland (other cancers excluded from controls),adrenal gland neoplasm,Good,EFO_0003850
Benign neoplasm: Anus and anal canal,anal neoplasm,Good,EFO_0003835
Benign neoplasm: Anus and anal canal (other cancers excluded from controls),anal neoplasm,Good,EFO_0003835
Benign neoplasm: Ascending colon,Ascending Colon Neuroendocrine Tumor G1,Good,EFO_1000094
Benign neoplasm: Ascending colon (other cancers excluded from controls),Ascending Colon Neuroendocrine Tumor G1,Good,EFO_1000094
Benign neoplasm of bone and articular cartilage,N/A,Did not map,N/A
Benign neoplasm of bone and articular cartilage (other cancers excluded from controls),N/A,Did not map,N/A
Benign neoplasm: Long bones of lower limb,cancer of long bone of lower limb,Medium,MONDO_0000952
Benign neoplasm: Long bones of lower limb,Lower limb undergrowth,Medium,HP_0009816
Benign neoplasm: Long bones of lower limb (other cancers excluded from controls),cancer of long bone of lower limb,Medium,MONDO_0000952
Benign neoplasm: Long bones of lower limb (other cancers excluded from controls),Lower limb undergrowth,Medium,HP_0009816
Benign neoplasm: Short bones of lower limb,cancer of long bone of lower limb,Medium,MONDO_0000952
Benign neoplasm: Short bones of lower limb,Lower limb undergrowth,Medium,HP_0009816
Benign neoplasm: Short bones of lower limb (other cancers excluded from controls),cancer of long bone of lower limb,Medium,MONDO_0000952
Benign neoplasm: Short bones of lower limb (other cancers excluded from controls),Lower limb undergrowth,Medium,HP_0009816
Benign neoplasm: Short bones of upper limb,Upper limb undergrowth,Medium,HP_0009824
Benign neoplasm: Short bones of upper limb,Limb undergrowth,Medium,HP_0009826
Benign neoplasm: Short bones of upper limb (other cancers excluded from controls),Upper limb undergrowth,Medium,HP_0009824
Benign neoplasm: Short bones of upper limb (other cancers excluded from controls),Limb undergrowth,Medium,HP_0009826
Benign neoplasm of brain and other parts of central nervous system,complex cortical dysplasia with other brain malformations,Medium,MONDO_0000904
Benign neoplasm of brain and other parts of central nervous system,Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,Medium,Orphanet_300570
Benign neoplasm of brain and other parts of central nervous system (other cancers excluded from controls),complex cortical dysplasia with other brain malformations,Medium,MONDO_0000904
Benign neoplasm of brain and other parts of central nervous system (other cancers excluded from controls),Cortical dysgenesis with pontocerebellar hypoplasia due to TUBB3 mutation,Medium,Orphanet_300570
"Benign neoplasm: Brain, supratentorial",supratentorial cancer,Medium,MONDO_0002071
"Benign neoplasm: Brain, supratentorial",benign neoplasm of brain,Medium,MONDO_0021451
"Benign neoplasm: Brain, supratentorial (other cancers excluded from controls)",supratentorial cancer,Medium,MONDO_0002071
"Benign neoplasm: Brain, supratentorial (other cancers excluded from controls)",benign neoplasm of brain,Medium,MONDO_0021451
Benign neoplasm of breast,breast benign neoplasm,Good,MONDO_0000620
Benign neoplasm of breast (other cancers excluded from controls),breast neoplasm,Good,EFO_0003869
Benign neoplasm: Bronchus and lung,bronchogenic carcinoma,Medium,EFO_1001942
Benign neoplasm: Bronchus and lung,respiratory system disease,Medium,EFO_0000684
Benign neoplasm: Bronchus and lung (other cancers excluded from controls),bronchogenic carcinoma,Medium,EFO_1001942
Benign neoplasm: Bronchus and lung (other cancers excluded from controls),respiratory system disease,Medium,EFO_0000684
Benign neoplasm: Caecum,benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Caecum,cecal neoplasm,Medium,EFO_0009255
Benign neoplasm: Caecum (other cancers excluded from controls),benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Caecum (other cancers excluded from controls),meningeal neoplasm,Medium,EFO_0003851
Benign neoplasm: Choroid,benign neoplasm of choroid,Medium,MONDO_0021487
Benign neoplasm: Choroid,choroid neoplasm,Medium,MONDO_0021258
Benign neoplasm: Choroid (other cancers excluded from controls),benign neoplasm of choroid,Medium,MONDO_0021487
Benign neoplasm: Choroid (other cancers excluded from controls),choroid neoplasm,Medium,MONDO_0021258
Benign neoplasm: Colon,benign neoplasm,Good,EFO_0002422
Benign neoplasm: Colon (other cancers excluded from controls),benign neoplasm,Good,EFO_0002422
"Benign neoplasm: Colon, unspecified",neoplasm,Good,EFO_0000616
"Benign neoplasm: Colon, unspecified (other cancers excluded from controls)",neoplasm,Good,EFO_0000616
"Benign neoplasm of colon, rectum, anus and anal canal",anal neoplasm,Good,EFO_0003835
"Benign neoplasm of colon, rectum, anus and anal canal (other cancers excluded from controls)",anal neoplasm,Good,EFO_0003835
Benign neoplasm: Conjunctiva,Benign Conjunctival Neoplasm,Medium,EFO_1000110
Benign neoplasm: Conjunctiva,benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Conjunctiva (other cancers excluded from controls),Benign Conjunctival Neoplasm,Medium,EFO_1000110
Benign neoplasm: Conjunctiva (other cancers excluded from controls),benign neoplasm,Medium,EFO_0002422
Other benign neoplasms of connective and other soft tissue,N/A,Did not map,N/A
Other benign neoplasms of connective and other soft tissue (other cancers excluded from controls),N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of head, face and neck",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of head, face and neck (other cancers excluded from controls)",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of lower limb, including hip",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue, unspecified",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue, unspecified (other cancers excluded from controls)",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder",N/A,Did not map,N/A
"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder (other cancers excluded from controls)",N/A,Did not map,N/A
Benign neoplasm: Cranial nerves,tumour of cranial and spinal nerves,Medium,EFO_0002431
Benign neoplasm: Cranial nerves,cranial nerve malignant neoplasm,Medium,EFO_1000884
Benign neoplasm: Cranial nerves (other cancers excluded from controls),tumour of cranial and spinal nerves,Medium,EFO_0002431
Benign neoplasm: Cranial nerves (other cancers excluded from controls),cranial nerve malignant neoplasm,Medium,EFO_1000884
Benign neoplasm: Descending colon,benign colon neoplasm,Medium,MONDO_0002278
Benign neoplasm: Descending colon,descending colon,Medium,UBERON_0001158
Benign neoplasm: Descending colon (other cancers excluded from controls),benign colon neoplasm,Medium,MONDO_0002278
Benign neoplasm: Descending colon (other cancers excluded from controls),descending colon,Medium,UBERON_0001158
Benign neoplasm: Duodenum,duodenal benign neoplasm,Medium,EFO_1000907
Benign neoplasm: Duodenum,benign neoplasm,Medium,EFO_0002422
Benign neoplasm: Duodenum (other cancers excluded from controls),duodenal benign neoplasm,Medium,EFO_1000907
Benign neoplasm: Duodenum (other cancers excluded from controls),benign neoplasm,Medium,EFO_0002422
"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses",N/A,Did not map,N/A
"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses (other cancers excluded from controls)",N/A,Did not map,N/A
Benign neoplasm of middle ear and respiratory system,N/A,Did not map,N/A
Benign neoplasm of middle ear and respiratory system (other cancers excluded from controls),N/A,Did not map,N/A
Benign neoplasm of other and unspecified endocrine glands,endocrine system disease,Medium,EFO_0001379
Benign neoplasm of other and unspecified endocrine glands,lipoma,Medium,EFO_0000759
Benign neoplasm of other and unspecified endocrine glands (other cancers excluded from controls),endocrine system disease,Medium,EFO_0001379
Benign neoplasm of other and unspecified endocrine glands (other cancers excluded from controls),lipoma,Medium,EFO_0000759
Benign neoplasms (other cancers excluded from controls),benign neoplasm,Good,EFO_0002422
