TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special
#ALCO,2,,EPISEIZALCO,Epileptic seizures related to alcohol,,,,,,,G4051,$!$,$!$,,,,,G4051,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOPOLYNEU,Alcohol induced polyneuropathy,,,,,,,G621,3575A,$!$,,,,,G621,3575A,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOMYOP,Alcoholic myopathy,,,,,,,G721,$!$,$!$,,,,,G721,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,CARMYOPATHALCO,Alcoholic cardiomyopathy,,,,,,,I426,4255,$!$,,,,,I426,4255,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOGASTRITIS,Alcoholic gastritis,,,,,,,K292,5353A,$!$,,,,,K292,5253A,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOLIVER,Alcoholic liver disease,,,,,,,K70,571[0-3],5710,,,,,K70,571[0-3],5710,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOPANCACU,Acohol-induced acute pancreatitis,,,,,,,K852,5770D|5770E,$!$,,,,,K852,5770D|5770E,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOPANCCHRON,Alcohol-induced chronic pancreatitis,,,,,,,K860,5771C|5771D,$!$,,,,,K860,5771C|5771D,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,MATERNCAREFETUSALCO,Maternal care for (suspected) damage to fetus from alcohol,,,,,,,O354,$!$,$!$,,,,,O354,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,FETUSALCO,Fetus and newborn affected by maternal use of alcohol,,,,,,,P043,7607A,$!$,,,,,P043,7607A,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,FAS,Fetal alcohol syndrome (dysmorphic),,,,,,,Q860,$!$,$!$,,,,,Q860,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOPOISACCI,Accidental poisoning by and exposure to alcohol,,,,,,,X45,$!$,$!$,,,,,X45,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOADVICE,Guidance and medical advice to a person with alcohol abuse,,,,,,,Z714,$!$,$!$,,,,,Z714,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,PSEUDOCUSHING,Alcohol-induced pseudo-Cushing syndrome,,,,,,,E244,$!$,$!$,,,,,E244,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOETHTOXIC,Toxic effect of ethanol,,,,,,,T510,9800,9800,,,,,T510,9800,9800,,,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCOTOXIC,Toxic effect of unspecified or or other (than ethanol) alcohols,,,,,,,T51,980,980,T510,9800,,,T51,980,980,T510,9800,,,,,,,,,,,,,,,,,
#ALCO,2,,ALCO_PRESCRIPTION,"Use of disulfiram, acamprosate or naltrexone",,,,,,,,,,,,,,,,,,,,,,,,,,,N07BB01|N07BB03|N07BB04,,,,,,,,
"#J10,#ASTHMA",3,,J10_ASTHMA,Asthma,,,,,,,J45|J46,493,493,,,,,J45|J46,493,493,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA",,,J10_ASTHMA_MAIN,Asthma,,,,,,YES,J45|J46,493,493,,,,YES,J45|J46,493,493,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ALLERG_ASTHMA,Allergic asthma (mode),,,,,,,%J450,$!$,$!$,,,,,%J450,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_ALLERG,Asthma and allergy,,L12_ATOPIC|ALLERG_RHINITIS|H7_ALLERGICCONJUNCTIVITIS|FOOD_ALLERGY|HYPOSENSIBILIZATIONTHRPY|POLLENALLERG,,ALLERG_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#L12,#ASTHMA_CM,#COPD_CM",3,,L12_ATOPIC,Atopic dermatitis,,,,,,,L20,6918,691,,6918X,,,L20,6918,691,,6918X,,,,,,ANY,L20,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,ALLERG_RHINITIS,Allergic rhinitis,,,,,,,J30[1-4],477,$!$,,,,,J30[1-4],477,$!$,,,,,,,,,,,,,,,,,,,
"#H7,#ASTHMA_CM,#COPD_CM,#OPHTAL",C,,H7_ALLERGICCONJUNCTIVITIS,Allergic conjunctivitis,,H7_USEOFEYEANTIALLERGENS|H7_CONJUNCTIVITISATOPIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#H7,#ASTHMA_CM,#COPD_CM,#OPHTAL",4,,H7_USEOFEYEANTIALLERGENS,Use of eye-antiallergens (taken as indicator of allergic/atopic conjunctivitis),,,,,,,,,,,,,,,,,,,,,,,,,,,S01GX,,,,,,,,
"#H7,#ASTHMA_CM,#COPD_CM,#OPHTAL",4,,H7_CONJUNCTIVITISATOPIC,Atopic conjunctivitis,,,,,,,H101,$!$,$!$,,,,,H101,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,FOOD_ALLERGY,Food allergy,,,,,,,L236,$!$,$!$,,,,,L236,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,HYPOSENSIBILIZATIONTHRPY,Hyposensibilization therapy,,,,,,,Z516,$!$,$!$,,,,,Z516,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,POLLENALLERG,Pollen allergy,,,,,,,J301,$!$,$!$,,,,,J301,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMCMA,#COPD_CM",,,CHILDHOOD_ALLERGY,Childhood allergy (age < 16),,,EVENT_AGE<16,,,,J450|L20|J30[1-4]|L236|J3019,6918|477,$!$,,,,,J450|L20|J30[1-4]|L236|J3019,6918|477,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_NONALLERG,Non-allergic asthma,,NONALLERG_ASTHMA,,!(L12_ATOPIC|ALLERG_RHINITIS|H7_ALLERGICCONJUNCTIVITIS|FOOD_ALLERGY|HYPOSENSIBILIZATIONTHRPY|POLLENALLERG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,NONALLERG_ASTHMA,Non-allergic asthma (mode),,,,,,,%J451,$!$,$!$,,,,,%J451,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_CHILD,Childhood asthma (age<16),,,EVENT_AGE<16,,,,J45|J46,493,493,,,,,J45|J46,493,493,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_NOS,Undetermined asthma,,J10_NASALPOLYP|M13_CHURGSTRAUSS|FESS|POLYPECTOMY|ETMOIDECTOMY|J10_PULMEOS|J10_CHRONSINUSITIS|H8_NONSUPPNAS|RHINITIS_VASOMOTOR|ASAINTOL,,ASTHMA_MIXED|ASTHMA_NAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_MIXED,Asthma mixed form (mode),,,,,,,%J458,$!$,$!$,,,,,%J458,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_NAS,"Asthma, unspecified (mode)",,,,,,,%J459,$!$,$!$,,,,,%J459,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA",3,,J10_NASALPOLYP,Nasal polyp,,,,,,,J33,471,505,,,,,J33,471,505,,,,,,,,,,,,,,,,,,,
"#M13,#ASTHMA_CM,#COPD_CM,#GASTRO_CM,#ILD_CM",4,,M13_CHURGSTRAUSS,Polyarteritis with lung involvement [Churg-Strauss]/EGPA,,,,,,,M301,4460B,$!$,,,,,M301,4460B,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,FESS,FESS (DNB20),,,,,,,,,,,,,,,,,,,,^DNB20,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,POLYPECTOMY,Polypectomy (DHB20),,,,,,,,,,,,,,,,,,,,^DHB20,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ETMOIDECTOMY,Etmoidectomy,,,,,,,,,,,,,,,,,,,,^DNB[0-2]0,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#GASTRO,#ILD_CM",3,,J10_PULMEOS,"Pulmonary eosinophilia, not elsewhere classified",,,,,,,J82,5183,51920,,,,,J82,5183,51920,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM",3,,J10_CHRONSINUSITIS,Chronic sinusitis,,,,,,,J32,473,503,,,,,J32,473,503,,,,,,,,,,,,,,,,,,,
"#H8,#ASTHMA_CM,#COPD_CM",3,,H8_NONSUPPNAS,Nonsuppurative otitis media,,,,,,,H65,381,$!$,,,,,H65,381,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,RHINITIS_VASOMOTOR,Vasomotor rhinitis (mode),,,,,,,%J300,$!$,$!$,,,,,%J300,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM",,,ASAINTOL,ASA intolerance,,,,,,,Z886,$!$,$!$,,,,,Z886,$!$,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ASTHMA_EOSINOPHIL_SUGG,Suggestive for eosinophilic asthma,,J10_NASALPOLYP|M13_CHURGSTRAUSS|J10_PULMEOS|ASAINTOL,,J10_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ASTHMA_OBESITY,Obesity related asthma,,E4_OBESITY|G6_SLEEPAPNO,,J10_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#G6,#ASTHMA_CM,#GASTRO_CM,#ILD_CM,#NEURO",3,,G6_SLEEPAPNO,Sleep apnoea,,,,,,,G473,3472,$!$,,,,,G473,3472,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASHMA_INFECTIONS,Asthma-related infections,,ASTHMA_ACUTE_RESPIRATORY_INFECTIONS|ASTHMA_PNEUMONIA|ASTHMA_SEPTICHE_PNEUMONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_PNEUMONIA_AND_SEPSIS,Asthma-related pneumonia or sepsis,,ASTHMA_PNEUMONIA|ASTHMA_SEPTICHE_PNEUMONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_ACUTE_RESPIRATORY_INFECTIONS,Asthma-related acute respiratory infections,,J10_SINUSITIS|J10_PHARYNGITIS|J10_TONSILLITIS|BRONCHITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_SINUSITIS,Acute sinusitis,,,,,,,J01,461,461,,,,,J01,461,461,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_PHARYNGITIS,Acute pharyngitis,,,,,,,J02,462,462,,,,,J02,462,462,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_TONSILLITIS,Other and unspecified tonssillitis,,,,,,,J03,463,463,,,,,J03,463,463,,,,,,,,,,,,,,,,,,,
"#ASTHMA,#COPD_CM,#ILD",,,BRONCHITIS,Bronchitis,,J10_BRONCHITIS|J10_BRONCHIOLITIS|J10_ACUTELOWERNAS|J10_ACUTEUPPERINFEC|INFLUENZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_BRONCHITIS,Acute bronchitis,,,,,,,J20,4660,$!$,,,,,J20,4660,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_BRONCHIOLITIS,Acute bronchiolitis,,,,,,,J21,4661,$!$,,,,,J21,4661,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_ACUTELOWERNAS,Unspecified acute lower respiratory infection,,,,,,,J22,$!$,46699,,,,,J22,$!$,46699,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD_CM,#ILD",3,,J10_ACUTEUPPERINFEC,Acute upper respiratory infections of multiple and unspecified sites,,,,,,,J06,465,465,,,,,J06,465,465,,,,,,,,,,,,,,,,,,,
"#ASTHMA,#COPD_CM,#ILD",,,INFLUENZA,All influenza (not pneumonia),,,,,,,J1[0-1],487,47[0-4],J100|J110,4870,471,,J1[0-1],487,47[0-4],4870,471,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_PNEUMONIA,Asthma-related pneumonia,,VIRALPNEUMOKNOWN|VIRALPNEUMONAS|MYCOBLUNGATYPICA|J10_PNEUMONAS|PNEUMOBACTKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD",,,VIRALPNEUMOKNOWN,"Viral pneumonia (known virus, not influenza)",,,,,,,B012|B052|B206|B250|J100|J12[0-2]|J171,480[0-2],$!$,,,,,B012|B052|B206|B250|J100|J12[0-2]|J171,480[0-2],$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD",,,VIRALPNEUMONAS,"Viral pneumonia (unknown virus, not influenza)",,,,,,,J128|J129,480,480,,480[0-2],,,J128|J129,480,480,,480[0-2],,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD",,,MYCOBLUNGATYPICA,Atypical mycobacterium lung infection,,,,,,,A310,310,$!$,,,,,A310,310,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA,#COPD,#ILD",3,,J10_PNEUMONAS,"Pneumonia, organism unsepcified",,,,,,,J18,485,4850[2-9]|486,,,,,J18,485,4850[2-9]|486,,,,,,,,,,,,,,,,,,,
"#ASTHMA,#COPD_CM,#ILD",,,PNEUMOBACTKNOWN,Bacterial pneumonia (organism specified),,,,,,,J1[3-7],48[1-3],48199|482,,,,,J1[3-7],48[1-3],48199|482,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_SEPTICHE_PNEUMONIA,Pneumonia derived septichemia,,PNEUMO_SEPTHICHE|HAEMOPHIL_SEPTICHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ASTHMA,#COPD_CM,#ILD",,,PNEUMO_SEPTHICHE,Pneumococcal septichemia,,,,,,,A403,0382,0382,,,,,A403,0382,0382,,,,,,,,,,,,,,,,,,,
"#ASTHMA,#COPD_CM,#ILD",,,HAEMOPHIL_SEPTICHE,Haemophilus septichemia,,,,,,,A413,0384A,$!$,,,,,A413,0384A,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_EXACERB,Asthma exacerbations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_HOSPITAL1,"Asthma, hospital admissions 1",,,,,,YES,J45|J46,493,493,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_HOSPITAL2,"Asthma, hospital admission 2",,ASHMA_INFECTIONS,,J10_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA,,,ASTHMA_HOSPITAL3,"Asthma, hospital admissions 3",,ASTHMA_PNEUMONIA_AND_SEPSIS,,J10_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ASTHMA_OPPORTUNIST_INFECTIONS,,,MYCOBLUNGATYPICA|ABPA|J10_BRONCHIECTASIS,,J10_ASTHMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#COPD",,,ABPA,Allergic bronchopulmonary aspergillosis (ABPA),,,,,,,B441,$!$,$!$,,,,,B441,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA_CM,#COPD_CM,#ILD",3,,J10_BRONCHIECTASIS,Bronchiectasis,,,,,,,J47,494,51899,,,,,J47,494,51899,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ASTHMA_EXCL,Excluding asthma or asthma-COPD overlap,,COPD_MODE|SMOKING|J10_BRONCHIECTASIS|SMOKING|D3_SARCOIDOSIS|TUBERCULOSIS|RESPIRATORYINSUFF|J10_EMPHYSEMA|J10_BRONCHNAS|LUNG_CANCER|PULMONARYDG|ESOSINOPHIL_DISEASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,COPD_MODE,COPD (mode),,,,,,,%J44,4912,49104,,,,,%J44,4912,49104,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",3,,D3_SARCOIDOSIS,Sarcoidosis,,,,,,,D86,135,135,,,,,D86,135,135,,,,,,,,132,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD",,,TUBERCULOSIS,Tuberculosis,,,,,,,A1[5-6]|A19|B909,01[1-2]|018,01[1-2]|018,,,,,A1[5-6]|A19|B909,01[1-2]|018,01[1-2]|018,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD",,,RESPIRATORYINSUFF,Respiratory insufficiency,,,,,,,J961,$!$,$!$,,,,,J961,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,J10_EMPHYSEMA,Emphysema,,,,,,,J43,492,492,,,,,J43,492,492,,,,,,,,,,,,,,,,,,,
"#J10,#ASTHMA_CM,#COPD,#ILD_CM",3,,J10_BRONCHNAS,Unspecified chronic bronchitis,,,,,,,J42,4919,49109,,,,,J42,4919,49109,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,LUNG_CANCER,Lung cancer and mesothelioma,,,,,,,C34|C384,162|163,162|16301,,,,,C34|C384,162|163,162|16301,,,,,,,,,,,,,,C34|C384,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,PULMONARYDG,Other pulmonary diagnosis,,,,,,,J,460-519,460-519,,,,,J,460-519,460-519,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,ESOSINOPHIL_DISEASE,Eosinophilic disease (BM),,,,,,,D721,2883,$!$,,,,,D721,2883,$!$,,,,,,,,,,,,,,,,,,,
#ASTHMA_CM,,,ASTHMA_COMORB,Asthma associated co-morbidites,,SMOKING|K11_REFLUX|D3_IMMUDEF|E4_OBESITY|ABPA|SNORING|VOCALCORDDYS|TRACHEOBRONCHOMAL|ASTHMA_CVDMETABOCOMORB|ASTHMA_IMMUNECOMORB|ASTHMA_MEDICATIO_COMORB|ASTHMA_PSYCH_COMORB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,SMOKING,Smoking,,SMOKING_DEPEND|SMOKING_FAMILY|TOBACCO_USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,SMOKING_DEPEND,Smoking dependancy,,,,,,,F17,3051,$!$,,,,,F17,3051,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,SMOKING_FAMILY,Family history of tobacco abuse and dependence,,,,,,,Z812,$!$,$!$,,,,,Z812,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#ASTHMA_CM,#COPD_CM,#ILD_CM",,,TOBACCO_USE,Tobacco use,,,,,,,Z720,$!$,$!$,,,,,Z720,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#K11,#ASTHMA_CM,#COPD_CM,#GASTRO,#ILD",3,,K11_REFLUX,Gastro-oesophageal reflux disease,,,,,,,K21,5301A,$!$,,,,,K21,5301A,$!$,,,,,,,,,,,,,,,,,,,Originally: GI_ENDPOINTS
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",C,,D3_IMMUDEF,Immunodeficiencies,,D3_IMMUDEFANTIBODY|D3_COMBIMMUDEF|D3_IMMUDEFWITHMAJORDEF|D3_CVID|D3_IMMUDEFOTHER|D3_KELA_IMMUDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",3,,D3_IMMUDEFANTIBODY,Immunodeficiency with predominantly antibody defects,,D3_HEREDHYPOGAMMA|D3_NONHEREDHYPOGAMMA|D3_DEF_IIGA|D3_DEF_IGG|D3_DEF_IGM|D3_IMMUDEF_INCR_IGM|D3_AB_DEF_NORMHYPERIG|D3_TRANSHYPOGAMMAINFANT|D3_IMMUDEFANTIBODYNAS,,,,,D80,,,,,,,D80,,,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_HEREDHYPOGAMMA,Hereditary hypogammaglobulinemia,,,,,,,D800,2790A,$!$,,,,,D800,2790A,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_NONHEREDHYPOGAMMA,Nonhereditary hypogammaglobulinemia,,,,,,,D801,$!$,$!$,,,,,D801,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_DEF_IIGA,Selective deficiency of immunoglobulin A [IgA]y,,,,,,,D802,2790B,$!$,,,,,D802,2790B,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_DEF_IGG,Selective deficiency of immunoglobulin G [IgG] subclasses,,,,,,,D803,$!$,$!$,,,,,D803,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_DEF_IGM,Selective deficiency of immunoglobulin M [IgM],,,,,,,D804,$!$,$!$,,,,,D804,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_IMMUDEF_INCR_IGM,Imunodeficiency with increased immunoglobulin M [IgM],,,,,,,D805,$!$,$!$,,,,,D805,$!$,$!$,,,,,,,,,,,,,,,,,,,
"#D3,#ASTHMA_CM,#COPD_CM,#ILD_CM",4,,D3_AB_DEF_NORMHYPERIG,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,,,,,,,D806,$!$,$!$,,,,,D806,$!$,$!$,,,,,,,,,,,,,,,,,,,
