TAGS,LEVEL,OMIT,NAME,LONGNAME,SEX,INCLUDE,PRE_CONDITIONS,CONDITIONS,OUTPAT_ICD,HD_MAINONLY,HD_ICD_10_ATC,HD_ICD_10,HD_ICD_9,HD_ICD_8,HD_ICD_10_EXCL,HD_ICD_9_EXCL,HD_ICD_8_EXCL,COD_MAINONLY,COD_ICD_10,COD_ICD_9,COD_ICD_8,COD_ICD_10_EXCL,COD_ICD_9_EXCL,COD_ICD_8_EXCL,OPER_NOM,OPER_HL,OPER_HP1,OPER_HP2,KELA_REIMB,KELA_REIMB_ICD,KELA_ATC_NEEDOTHER,KELA_ATC,KELA_VNRO_NEEDOTHER,KELA_VNRO,CANC_TOPO,CANC_TOPO_EXCL,CANC_MORPH,CANC_MORPH_EXCL,CANC_BEHAV,Special,version,PARENT,Latin
#AB1,1,,AB1_INFECTIONS,Certain infectious and parasitic diseases,,AB1_INTESTINAL_INFECTIONS|AB1_TUBERCULOSIS|AB1_ZOONOTIC_BACTERIAL|AB1_SEXUAL_TRANSMISSION|AB1_OTHER_SPIROCHAETAL|AB1_OTHER_CHLAMYDIAE|AB1_RICKETTSIOSES|AB1_VIRAL_CNS|AB1_ARTHROPOD|AB1_VIRAL_SKIN_MUCOUS_MEMBRANE|AB1_VIRAL_HEPATITIS|AB1_HIV|AB1_OTHER_VIRAL|AB1_MYCOSES|AB1_PROTOZOAL|AB1_HELMINTIASES|AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST|AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES|AB1_BACT_BIR_OTHER_INF_AGENTS|AB1_OTHER_INFECTIONS,,,,,,A|B,,,,,,,A|B,,,,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,2,,AB1_INTESTINAL_INFECTIONS,Intestinal infectious diseases,,AB1_CHOLERA|AB1_TYPHOIDPARATHYPHOID|AB1_SALMONELLA_OTH|AB1_SHIGELLOSIS|AB1_BACT_INTEST_OTH|AB1_AMOEBIASIS|AB1_OTHER_PROTOZOAL|AB1_VIRAL_OTHER_INTEST_INFECTIONS|AB1_GASTROENTERITIS_NOS,,,,,,A0[0-9],00[1-9],00[0-9],,,,,A0[0-9],00[1-9],00[0-9],,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,3,,AB1_CHOLERA,Cholera,,,,,,,,A00,00[1],00[0],,,,,A00,00[1],00[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TYPHOIDPARATHYPHOID,Typhoid and paratyphoid fevers,,,,,,,,A01,002.,00[1-2],,,,,A01,002.,00[1-2],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_SALMONELLA_OTH,Other salmonella infections,,,,,,,,A02,003.,00[3],,,,,A02,003.,00[3],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_SHIGELLOSIS,Shigellosis,,,,,,,,A03,004.,004[0],,,,,A03,004.,004[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_BACT_INTEST_OTH,Other bacterial intestinal infections,,,,,,,,A0[4-5],00[5],00[5]|008[0-3],,,,,A0[4-5],00[5],00[5]|008[0-3],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_AMOEBIASIS,Amoebiasis,,,,,,,,A06,006.,00[6],,,,,A06,006.,00[6],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_OTHER_PROTOZOAL,Other protozoal intestinal diseases,,,,,,,,A07,007.,00[7],,,,,A07,007.,00[7],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_VIRAL_OTHER_INTEST_INFECTIONS,Viral and other specified intestinal infections,,,,,,,,A08,008.,008[8-9],,,,,A08,008.,008[8-9],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_GASTROENTERITIS_NOS,Diarrhoea and gastroenteritis of presumed infectious origin,,,,,,,,A09,009.,00[9],,,,,A09,009.,00[9],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,2,,AB1_TUBERCULOSIS,Tuberculosis,,AB1_RESP_TUBERCU|AB1_TUBERCU_NEU|AB1_TUBERCU_OTH_ORG|AB1TUBERCU_MILIARY,,,,,,A1[5-9],01[0-8],01[0-8],,,,,A1[5-9],01[0-8],01[0-8],,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,3,,AB1_RESP_TUBERCU,Respiratry tuberculosis,,AB1_RESP_TUBERCU_CONF|AB1_RESP_TUBERCU_NONCONF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_RESP_TUBERCU_CONF,"Respiratory tuberculosis, bacteriologically and histologically confirmed",,,,,,,,A15,01[1-2].A,$!$,,,,,A15,01[1-2].A,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_RESP_TUBERCU_NONCONF,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",,,,,,,,A16,01[1-2],01[1-2],,01[1-2].A,,,A16,01[1-2],01[1-2],,01[1-2].A,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TUBERCU_NEU,Tuberculosis of nervous system,,,,,,,,A17,01[3],01[3],,,,,A17,01[3],01[3],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TUBERCU_OTH_ORG,Tuberculosis of other organs,,,,,,,,A18,0[1],0[1],,01[1-3]|018,01[1-3]|018,,A18,0[1],0[1],,01[1-3]|018,01[1-3]|018,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1TUBERCU_MILIARY,Miliary tuberculosis,,,,,,,,A19,01[8],01[8],,,,,A19,01[8],01[8],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,2,,AB1_ZOONOTIC_BACTERIAL,Certain zoonotic bacterial diseases,,AB1_PLAGUE|AB1_TULARAEMIA|AB1_ANTHRAX|AB1_BRUCELLOSIS|AB1_GHANDERS_N_MELIOIDOSIS|AB1_RATBITEFEVERS|AB1_ERYSIPLEOID|AB1_LEPTOSPIROSIS|AB1_OTHER_ZOONOTIC,,,,,,A2[0-8],02[0-7]|B783A,02[0-7],,,,,A2[0-8],02[0-7]|B783A,02[0-7],,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,3,,AB1_PLAGUE,Plague,,,,,,,,A20,02[0],02[0],,,,,A20,02[0],02[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TULARAEMIA,Tularaemia,,,,,,,,A21,02[1],02[1],,,,,A21,02[1],02[1],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_ANTHRAX,Anthrax,,,,,,,,A22,02[2],02[2],,,,,A22,02[2],02[2],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_BRUCELLOSIS,Brucellosis,,,,,,,,A23,02[3],02[3],,,,,A23,02[3],02[3],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_GHANDERS_N_MELIOIDOSIS,Ghanders and melioidosis,,,,,,,,A24,02[4-5],02[4-5],,,,,A24,02[4-5],02[4-5],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_RATBITEFEVERS,Rat-bite fevers,,,,,,,,A25,02[6],02[6],,,,,A25,02[6],02[6],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_ERYSIPLEOID,Erysipeloid,,,,,,,,A26,027[1],027[1],,,,,A26,027[1],027[1],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_LEPTOSPIROSIS,Leptospirosis,,,,,,,,A27,$!$,$!$,,,,,A27,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_OTHER_ZOONOTIC,"Other zoonotic bacterial diseases, not elsewhere classified",,,,,,,,A28,02[7],02[7],,027[0-1],027[0-1],,A28,02[7],02[7],,027[0-1],027[0-1],,,,,,,,,,,,,,,,,DF5,,
#AB1,2,,AB1_OTHER_BACTERIAL,Other bacterial diseases,,AB1_LEPROSY|AB1_OTHER_MYCOBAC|AB1_LISTERIOSIS|AB1_TETANUS|AB1_DIBTHERIA|AB1_WHOOPCOUGH|AB1_SCARLET_FEVER|AB1_MENINGOCOCCAL|AB1_SEPSIS|AB1_ACTINOMYCOSIS|AB1_NOCARDIOSIS|AB1_BARTONELLOSIS|AB1_ERYSIPELAS|AB1_BACTINF_NOS,,,,,,A[3-4][0-9],03[0-9]|04[0-1]|0880,03[0-9],,034[0-0],034[0-0],,A[3-4][0-9],03[0-9]|04[0-1]|0880,03[0-9],,034[0-0],034[0-0],,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_LEPROSY,Leprosy [Hansen's disease],,,,,,,,A30,03[0],03[0],,,,,A30,03[0],03[0],,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,3,,AB1_OTHER_MYCOBAC,Infection due to other mycobacteria,,,,,,,,A31,03[1],03[1],,,,,A31,03[1],03[1],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_LISTERIOSIS,Listeriosis,,,,,,,,A32,027[0],027[0],,,,,A32,027[0],027[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TETANUS,Tetanus neonatorum,,AB1_TETANUS_NEONAT|AB1_TETANUS_OBSTR|AB1_TETAN_OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_TETANUS_NEONAT,Tetanus neonatorum,,,,,,,,A33,$!$,$!$,,,,,A33,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_TETANUS_OBSTR,Obstetrical tetanus,,,,,,,,A34,$!$,$!$,,,,,A34,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_TETAN_OTH,"Tetanus, other/unspecified",,,,,,,,A35,03[7],03[7],,,,,A35,03[7],03[7],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_DIBTHERIA,Diphtheria,,,,,,,,A36,03[2],03[2],,,,,A36,03[2],03[2],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_WHOOPCOUGH,Whooping cough,,,,,,,,A37,03[3],03[3],,,,,A37,03[3],03[3],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_SCARLET_FEVER,Scarlet fever,,,,,,,,A38,03[4],03[4],,034[0],034[0],,A38,03[4],03[4],,034[0],034[0],,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_MENINGOCOCCAL,Meningococcal infection,,,,,,,,A39,03[6],03[6],,,,,A39,03[6],03[6],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_SEPSIS,Septicaemia,,AB1_STREPTO_SEPSIS|AB1_OTHER_SEPSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_STREPTO_SEPSIS,Streptococcal septicaemia,,,,,,,,A40,038[0],038[0],,,,,A40,038[0],038[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_OTHER_SEPSIS,Other septicaemia,,,,,,,,A41,03[8],03[8],,038[0],038[0],,A41,03[8],03[8],,038[0],038[0],,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_ACTINOMYCOSIS,Actinomycosis,,,,,,,,A42,03[9],113,,,,,A42,03[9],113,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_NOCARDIOSIS,Nocardiosis,,,,,,,,A43,$!$,$!$,,,,,A43,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_BARTONELLOSIS,Bartonellosis,,,,,,,,A44,0880A,$!$,,,,,A44,0880A,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_ERYSIPELAS,Erysipelas,,,,,,,,A46,03[5],03[5],,,,,A46,03[5],03[5],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_BACTINF_NOS,"Bacterial infection, other or unspecified",,AB1_LISTERIOSIS|AB1_TETANUS|AB1_DIBTHERIA|AB1_WHOOPCOUGH|AB1_SCARLET_FEVER|AB1_MENINGOCOCCAL|AB1_SEPSIS|AB1_ACTINOMYCOSIS|AB1_NOCARDIOSIS|AB1_BARTONELLOSIS|AB1_ERYSIPELAS|AB1_BACTINF_NOS,,,,,,A4[8-9],04[0-1],03[9],,,,,A4[8-9],04[0-1],03[9],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,2,,AB1_SEXUAL_TRANSMISSION,Infections with a predominantly sexual mode of transmission,,AB1_SYPHILIS|AB1_GONOCOCCAL|AB1_CHLAMYDIA_VENERUM|AB1_CHLAMYDIA_OTHER|AB1_CHANCROID|AB1_GRANULO_INGUINALE|AB1_TRICHOMONIASIS|AB1_ANOGENITAL_HERPES_SIMPLEX|AB1_SEXUAL_TRANSMISSION_NOS,,,,,,A5[0-9]|A6[0-4],09[0-9]|0541|131|0781C,09[0-9]|131,,,,,A5[0-9]|A6[0-4],09[0-9]|0541|131|0781C,09[0-9]|131,,,,,,,,,,,,,,,,,,,,DF2,,
#AB1,3,,AB1_SYPHILIS,Syphilis,,AB1_CONGEN_SYPHILIS|AB1_EARLY_SYPHILIS|AB1_LATE_SYPHILIS|AB1_SYPHILIS_NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_CONGEN_SYPHILIS,Congenital syphilis,,,,,,,,A50,09[0],09[0],,,,,A50,09[0],09[0],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_EARLY_SYPHILIS,Early syphilis,,,,,,,,A51,09[1],09[1],,,,,A51,09[1],09[1],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_LATE_SYPHILIS,Late syphilis,,,,,,,,A52,09[2-6],09[2-6],,,,,A52,09[2-6],09[2-6],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,4,,AB1_SYPHILIS_NOS,Other and unspecified syphilis,,,,,,,,A53,097,097,,,,,A53,097,097,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_GONOCOCCAL,Gonococcal infection,,,,,,,,A54,09[8],09[8],,,,,A54,09[8],09[8],,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_CHLAMYDIA_VENERUM,Chlamydial lymphogranuloma (venereum),,,,,,,,A55,0991A,0991A,,,,,A55,0991A,0991A,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_CHLAMYDIA_OTHER,Other sexually transmitted chlamydial diseases,,,,,,,,A56,$!$,$!$,,,,,A56,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_CHANCROID,Chancroid,,,,,,,,A57,$!$,$!$,,,,,A57,$!$,$!$,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_GRANULO_INGUINALE,Granuloma inguinale,,,,,,,,A58,0992A,0992A,,,,,A58,0992A,0992A,,,,,,,,,,,,,,,,,,,,DF5,,
#AB1,3,,AB1_TRICHOMONIASIS,Trichomoniasis,,,,,,,,A59,131,131,,,,,A59,131,131,,,,,,,,,,,,,,,,,,,,DF5,,
