	term	label	source	quality	action
Other septicaemia	http://purl.obolibrary.org/obo/HP_0100806	Other septicaemia	Zooma API lookup	match	
Other spirochaetal diseases					
Other superficial mycoses	http://purl.obolibrary.org/obo/MONDO_0002312	opportunistic mycosis	OLS API EFO lookup	fuzzy	check if valid
Other viral diseases	http://purl.obolibrary.org/obo/MONDO_0018087	viral hemorrhagic fever	OLS API EFO lookup	fuzzy	check if valid
Unspecified parasitic disease	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	OLS API EFO lookup	fuzzy	check if valid
Pediculosis, acariasis and other infestations					
Pneumocystosis	http://www.ebi.ac.uk/efo/EFO_0007448	pneumocystosis	EFO OBO	match	
Acute poliomyelitis	http://www.ebi.ac.uk/efo/EFO_0007450	poliomyelitis	EFO OBO	match	
Protozoal diseases	http://purl.obolibrary.org/obo/MONDO_0001955	protozoal dysentery	OLS API EFO lookup	fuzzy	check if valid
Respiratry tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Respiratory tuberculosis, bacteriologically and histologically confirmed					
Respiratory tuberculosis, not confirmed bacteriologically or histologically	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Rubella [German measles]	http://www.ebi.ac.uk/efo/EFO_1002026	rubella	OLS API EFO lookup	fuzzy	check if valid
Other salmonella infections	http://www.ebi.ac.uk/efo/EFO_1001418	Salmonella Infections	OLS API EFO lookup	fuzzy	check if valid
Scabies					
Scarlet fever	http://www.ebi.ac.uk/efo/EFO_0007477	scarlet fever	EFO OBO	match	
Schistosomiasis [bilharziasis]	http://www.ebi.ac.uk/efo/EFO_1001475	schistosomiasis	OLS API EFO lookup	fuzzy	check if valid
Septicaemia	http://www.ebi.ac.uk/efo/EFO_1001091	Pasteurella hemorrhagic septicemia	OLS API EFO lookup	fuzzy	check if valid
Sequelae of other and unspecified infectious and parasitic diseases	http://www.ebi.ac.uk/efo/EFO_0001068	malaria	OLS API EFO lookup	fuzzy	check if valid
Sequelae of poliomyelitis	http://www.ebi.ac.uk/efo/EFO_0007450	poliomyelitis	OLS API EFO lookup	fuzzy	check if valid
Sequelae of tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Sequelae of infectious and parasitic diseases	http://www.ebi.ac.uk/efo/EFO_0001067	parasitic infection	OLS API EFO lookup	fuzzy	check if valid
Infections with a predominantly sexual mode of transmission	http://www.ebi.ac.uk/efo/EFO_0009567	Spirochaetales Infections	OLS API EFO lookup	fuzzy	check if valid
Other predominantly sexually transmitted diseases, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_0003955	"""Other predominantly sexually transmitted diseases, not elsewhere classified"""	Zooma API lookup	match	
Spirochaetal infections, other/unspecified	http://www.ebi.ac.uk/efo/EFO_1001269	Arbovirus Infections	OLS API EFO lookup	fuzzy	check if valid
Streptococcal septicaemia	http://www.ebi.ac.uk/efo/EFO_1002024	streptococcal pharyngitis	OLS API EFO lookup	fuzzy	check if valid
Streptococcus and staphylococcus as the cause of diseases classified to other chapters					
Syphilis	http://www.ebi.ac.uk/efo/EFO_0007504	syphilis	EFO OBO	match	
Toxoplasmosis	http://www.ebi.ac.uk/efo/EFO_0007517	toxoplasmosis	EFO OBO	match	
Tuberculosis	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis	EFO OBO	match	
Tuberculosis of other organs	http://www.orpha.net/ORDO/Orphanet_3389	Tuberculosis of other organs	Zooma API lookup	match	
Tularaemia					
Varicella [chickenpox]	http://www.ebi.ac.uk/efo/EFO_0007204	chickenpox	OLS API EFO lookup	fuzzy	check if valid
Viral conjunctivitis	http://www.ebi.ac.uk/efo/EFO_0008571	viral conjunctivitis	EFO OBO	match	
Viral infections of the central nervous system	http://www.ebi.ac.uk/efo/EFO_1001456	central nervous system infection	OLS API EFO lookup	fuzzy	check if valid
Viral encephalitis, not elsewhere classified/unspecified	http://www.ebi.ac.uk/efo/EFO_0007538	viral encephalitis	OLS API EFO lookup	fuzzy	check if valid
Viral haemorrhagic fevers, not elsewhere classified/unspecified	http://purl.obolibrary.org/obo/MONDO_0018087	viral hemorrhagic fever	OLS API EFO lookup	fuzzy	check if valid
Viral hepatitis	http://www.ebi.ac.uk/efo/EFO_0007540	animal viral hepatitis	EFO OBO	match	
Viral agents as the cause of diseases classified to other chapters					
Viral meningitis	http://www.ebi.ac.uk/efo/EFO_1001236	viral meningitis	EFO OBO	match	
Other viral diseases, not elsewhere classified					
Viral and other specified intestinal infections	http://www.ebi.ac.uk/efo/EFO_0000763	Viral and other specified intestinal infections	Zooma API lookup	match	
Viral infections characterized by skin and mucous membrane lesions	http://www.ebi.ac.uk/efo/EFO_1000680	mucous membrane pemphigoid	OLS API EFO lookup	fuzzy	check if valid
Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	http://www.ebi.ac.uk/efo/EFO_1000680	mucous membrane pemphigoid	OLS API EFO lookup	fuzzy	check if valid
Viral warts	http://www.ebi.ac.uk/efo/EFO_0009662	Viral warts	Zooma API lookup	match	
Viral infections of central nervous system, not elsewhere classified/unspecified	http://www.ebi.ac.uk/efo/EFO_1001456	central nervous system infection	OLS API EFO lookup	fuzzy	check if valid
Whooping cough	http://www.ebi.ac.uk/efo/EFO_0000650	whooping cough	EFO OBO	match	
Certain zoonotic bacterial diseases	http://purl.obolibrary.org/obo/MONDO_0044746	zoonotic bacterial infection	OLS API EFO lookup	fuzzy	check if valid
Zoster [herpes zoster]	http://www.ebi.ac.uk/efo/EFO_0006510	Herpes Zoster	OLS API EFO lookup	fuzzy	check if valid
Hernia of abodminal wall	http://www.ebi.ac.uk/efo/EFO_1001866	ventral hernia	OLS API EFO lookup	fuzzy	check if valid
Hernia of abodminal wall, postoperative	http://www.ebi.ac.uk/efo/EFO_1001866	ventral hernia	OLS API EFO lookup	fuzzy	check if valid
Acute drug-induced interstitial lung disorder	http://www.ebi.ac.uk/efo/EFO_0004228	drug-induced liver injury	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (Atypical or mixed)	http://www.ebi.ac.uk/efo/EFO_0007374	mixed connective tissue disease	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (Atypical or mixed) (more controls excluded)					
AlzheimerÕs disease (Early onset)	http://www.orpha.net/ORDO/Orphanet_324290	Early-onset Lafora body disease	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (Early onset) (more controls excluded)	http://www.orpha.net/ORDO/Orphanet_2828	Young adult-onset Parkinsonism	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (Late onset)	http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (Late onset) (more controls excluded)	http://www.orpha.net/ORDO/Orphanet_411602	Hereditary late-onset Parkinson disease	OLS API EFO lookup	fuzzy	check if valid
AlzheimerÕs disease (undefined)					
AlzheimerÕs disease (undefined) (more controls excluded)					
Alcohol withdrawal state with deliriumÊ	http://www.ebi.ac.uk/efo/EFO_1000800	alcohol withdrawal delirium	OLS API EFO lookup	fuzzy	check if valid
Alcoholic gastritis	http://purl.obolibrary.org/obo/MONDO_0004640	alcoholic gastritis	EFO OBO	match	
Acute alcohol intoxication	http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to alcohol, excluding acute intoxication	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Alcohol related diseases and deaths, all endoints					
Alcoholic liver disease	http://www.ebi.ac.uk/efo/EFO_0008573	alcoholic liver disease	EFO OBO	match	
Degeneration of nervous system due to alcohol	http://purl.obolibrary.org/obo/MONDO_0000648	nervous system benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Acohol-induced acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1001507	asparaginase-induced acute pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol-induced chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol induced polyneuropathy	http://purl.obolibrary.org/obo/MONDO_0002326	alcohol-induced mental disorder	OLS API EFO lookup	fuzzy	check if valid
Use of disulfiram, acamprosate or naltrexone					
Allergic contact dermatitis due to drugs in contact with skin	http://www.ebi.ac.uk/efo/EFO_1000668	allergic contact dermatitis	OLS API EFO lookup	fuzzy	check if valid
Allergic asthma (mode)	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic asthma (mode) (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis	EFO OBO	match	
Transient global amnesia	http://www.ebi.ac.uk/efo/EFO_1001454	amnesia	OLS API EFO lookup	fuzzy	check if valid
Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	http://www.ebi.ac.uk/efo/EFO_0009482	drug allergy	OLS API EFO lookup	fuzzy	check if valid
Anosmia	http://www.orpha.net/ORDO/Orphanet_478	anosmia	Zooma API lookup	match	
Depression medications	http://www.ebi.ac.uk/efo/EFO_0007453	postpartum depression	OLS API EFO lookup	fuzzy	check if valid
Acute appendicitis, with complications	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Acute appendicitis, no complications	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Appendicitis, broad definition	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Other specific arthropathies	http://www.ebi.ac.uk/efo/EFO_1000999	Other specific arthropathies	Zooma API lookup	match	
Postydysenteric arthropathy	http://purl.obolibrary.org/obo/HP_0003040	Arthropathy	OLS API EFO lookup	fuzzy	check if valid
Asthma-related acute respiratory infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma and allergy	http://www.ebi.ac.uk/efo/EFO_0002686	atopy	OLS API EFO lookup	fuzzy	check if valid
Asthma and allergy (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0002686	atopy	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16)	http://www.ebi.ac.uk/efo/EFO_0004591	childhood onset asthma	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Suggestive for eosinophilic asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, hospital admissions , main diagnosis only	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma-related infections	http://www.ebi.ac.uk/efo/EFO_1001406	Prosthesis-Related Infections	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form (mode) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, unspecified (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, unspecified (mode) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Non-allergic asthma	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Undetermined asthma (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Obesity related asthma	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Asthma and opportunit respiratory infection					
Asthma-related pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Asthma-related pneumonia or sepsis	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Pneumonia derived septichemia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Atopic  dermatitis, strict definition	http://www.ebi.ac.uk/efo/EFO_1000651	recalcitrant atopic dermatitis	OLS API EFO lookup	fuzzy	check if valid
Atopic dermatitis, strict definition with reimbursement	http://www.ebi.ac.uk/efo/EFO_1000651	recalcitrant atopic dermatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol use disorder, ICD-based	http://www.ebi.ac.uk/efo/EFO_0009458	alcohol use disorder measurement	OLS API EFO lookup	fuzzy	check if valid
Alcohol use disorder, Swedish definition	http://www.ebi.ac.uk/efo/EFO_0009458	alcohol use disorder measurement	OLS API EFO lookup	fuzzy	check if valid
Autoimmune diseases	http://www.ebi.ac.uk/efo/EFO_1000870	CNS demyelinating autoimmune disease	OLS API EFO lookup	fuzzy	check if valid
Autoimmune hyperthyroidism	http://www.ebi.ac.uk/efo/EFO_0009189	Hyperthyroidism	OLS API EFO lookup	fuzzy	check if valid
Other specified/unspecified bacterial intestinal infections	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Bronchitis	http://www.ebi.ac.uk/efo/EFO_0009661	bronchitis	EFO OBO	match	
Acute myeloid leukaemia	http://www.ebi.ac.uk/efo/EFO_0000222	acute myeloid leukemia	EFO OBO	match	
Acute myeloid leukaemia (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003025	acute megakaryoblastic leukaemia	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	Malignant neoplasm of anus and anal canal	Zooma API lookup	match	
Malignant neoplasm of anus and anal canal (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other and unspecified parts of biliary tract	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other and unspecified parts of biliary tract (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bladder	http://purl.obolibrary.org/obo/MONDO_0001187	urinary bladder cancer	EFO OBO	match	
Malignant neoplasm of bladder (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bone and articular cartilage	http://www.ebi.ac.uk/efo/EFO_1000350	Malignant Bone Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bone and articular cartilage (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000350	Malignant Bone Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of brain	http://purl.obolibrary.org/obo/MONDO_0001657	brain cancer	EFO OBO	match	
Malignant neoplasm of brain (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003833	brain neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast	http://purl.obolibrary.org/obo/MONDO_0007254	breast cancer	EFO OBO	match	
Malignant neoplasm of breast (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER2-negative	http://www.ebi.ac.uk/efo/EFO_0009780	HER2 negative breast carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER2-negative (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0009780	HER2 negative breast carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER-negative	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER-negative (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER-positive	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast, HER-positive (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bronchus and lung	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	EFO OBO	match	
Malignant neoplasm of bronchus and lung (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_1000654	childhood cancer	EFO OBO	match	
Malignant neoplasm of cervix uteri	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer	EFO OBO	match	
Malignant neoplasm of cervix uteri (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021230	uterine cervix neoplasm	OLS API EFO lookup	fuzzy	check if valid
Chronic lymphocytic leukaemia	http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	OLS API EFO lookup	match	
Chronic lymphocytic leukaemia (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon	http://purl.obolibrary.org/obo/MONDO_0021063	malignant colon neoplasm	EFO OBO	match	
Colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	EFO OBO	match	
Colon adenocarcinoma (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021063	malignant colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Colorectal cancer	http://www.ebi.ac.uk/efo/EFO_1001951	colorectal carcinoma	EFO OBO	match	
Colorectal cancer (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other connective and soft tissue	http://www.ebi.ac.uk/efo/EFO_1000541	Malignant neoplasm of other connective and soft tissue	Zooma API lookup	match	
Malignant neoplasm of other connective and soft tissue (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0044334	connective and soft tissue neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of corpus uteri	http://www.ebi.ac.uk/efo/EFO_0007532	Malignant neoplasm of corpus uteri	Zooma API lookup	match	
Malignant neoplasm of corpus uteri (all cancers excluded)	http://purl.obolibrary.org/obo/MONDO_0021254	corpus uteri neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	diffuse large B-cell lymphoma	Zooma API lookup	match	
Diffuse large B-cell lymphoma (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000403	diffuse large B-cell lymphoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of endocrine gland	http://purl.obolibrary.org/obo/MONDO_0021069	malignant endocrine neoplasm	EFO OBO	match	
Malignant neoplasm of endocrine gland (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003769	endocrine neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye and adnexa	http://www.ebi.ac.uk/efo/EFO_0003824	Malignant neoplasm of eye and adnexa	Zooma API lookup	match	
Malignant neoplasm of eye and adnexa (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0009546	eye adnexa disease	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system	http://www.ebi.ac.uk/efo/EFO_1000158	Central Nervous System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1000158	Central Nervous System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other and unspecified female genital organs	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other and unspecified female genital organs (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Brain glioblastoma	http://www.ebi.ac.uk/efo/EFO_0006545	brain glioblastoma	EFO OBO	match	
Brain glioblastoma (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0006545	brain glioblastoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of heart, mediastinum and pleura					
Malignant neoplasm of heart, mediastinum and pleura (all cancers excluded)					
Malignant neoplasm of kidney, except renal pelvis	http://www.ebi.ac.uk/efo/EFO_0003865	"""Malignant neoplasm of kidney, except renal pelvis"""	Zooma API lookup	match	
Malignant neoplasm of kidney, except renal pelvis (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003865	kidney neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of larynx	http://purl.obolibrary.org/obo/MONDO_0002352	larynx cancer	EFO OBO	match	
Malignant neoplasm of larynx (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0003817	laryngeal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of lip, oral cavity and pharynx	http://www.ebi.ac.uk/efo/EFO_0007321	hypopharynx cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of lip, oral cavity and pharynx (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_0007321	hypopharynx cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of liver and intrahepatic bile ducts	http://www.ebi.ac.uk/efo/EFO_1001513	Malignant neoplasm of liver and intrahepatic bile ducts	Zooma API lookup	match	
Malignant neoplasm of liver and intrahepatic bile ducts (all cancers excluded)	http://www.ebi.ac.uk/efo/EFO_1001513	liver neoplasm	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer	http://www.ebi.ac.uk/efo/EFO_0003060	non-small cell lung carcinoma	EFO OBO	match	
