AB1_AMOEBIASIS	Amoebiasis
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission
AB1_SEXUAL_TRANSMISSION_NOS	"Other predominantly sexually transmitted diseases, not elsewhere classified"
AB1_SPIROCHE_OTHER	"Spirochaetal infections, other/unspecified"
AB1_STREPTO_SEPSIS	Streptococcal septicaemia
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters
AB1_SYPHILIS	Syphilis
AB1_TOXOPLASMOSIS	Toxoplasmosis
AB1_TRICHOMONIASIS	Trichomoniasis
AB1_TUBERCULOSIS	Tuberculosis
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs
AB1_TULARAEMIA	Tularaemia
AB1_VARICELLA	Varicella [chickenpox]
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis
AB1_VIRAL_CNS	Viral infections of the central nervous system
AB1_VIRAL_ENCEPHALITIS_NOS	"Viral encephalitis, not elsewhere classified/unspecified"
AB1_VIRAL_HEMOR_FEVER_NOS	"Viral haemorrhagic fevers, not elsewhere classified/unspecified"
AB1_VIRAL_HEPATITIS	Viral hepatitis
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters
AB1_VIRAL_MENINGITIS	Viral meningitis
AB1_VIRAL_NOS	"Other viral diseases, not elsewhere classified"
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions
AB1_VIRAL_SKIN_NOS	"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
AB1_VIRAL_WARTS	Viral warts
AB1_VIRAN_CNS_INFECTIONS_NOS	"Viral infections of central nervous system, not elsewhere classified/unspecified"
AB1_WHOOPCOUGH	Whooping cough
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases
AB1_ZOSTER	Zoster [herpes zoster]
ABDOM_HERNIA	Hernia of abodminal wall
ABDOM_HERNIA_POSTOP	"Hernia of abodminal wall, postoperative"
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections
AD_AM	AlzheimerÕs disease (Atypical or mixed)
AD_AM_EXMORE	AlzheimerÕs disease (Atypical or mixed) (more controls excluded)
AD_EO	AlzheimerÕs disease (Early onset)
AD_EO_EXMORE	AlzheimerÕs disease (Early onset) (more controls excluded)
AD_LO	AlzheimerÕs disease (Late onset)
AD_LO_EXMORE	AlzheimerÕs disease (Late onset) (more controls excluded)
AD_U	AlzheimerÕs disease (undefined)
AD_U_EXMORE	AlzheimerÕs disease (undefined) (more controls excluded)
AF_OPER	Operations for atrial fibrillation
ALCODELIRIUM	Alcohol withdrawal state with deliriumÊ
ALCOGASTRITIS	Alcoholic gastritis
ALCOHOLACUTE10	Acute alcohol intoxication
ALCOHOLACUTE9	Acute alcohol intoxication ICD-9
ALCOHOLMENTAL	"Mental and behavioural disorders due to alcohol, excluding acute intoxication"
ALCOHOL_RELATED	"Alcohol related diseases and deaths, all endoints"
ALCOLIVER	Alcoholic liver disease
ALCONEURODEGEN	Degeneration of nervous system due to alcohol
ALCOPANCACU	Acohol-induced acute pancreatitis
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis
ALCOPOLYNEU	Alcohol induced polyneuropathy
ALCO_PRESCRIPTION	"Use of disulfiram, acamprosate or naltrexone"
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin
ALLERG_ASTHMA	Allergic asthma (mode)
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)
ALLERG_RHINITIS	Allergic rhinitis
AMN2	Transient global amnesia
AMPUTATION	Amputation
AMPUTATION_ANKLEBONES	Amputation of ankle bones
AMPUTATION_FOOT	Amputation of foot
AMPUTATION_THIGH	Amputation of thigh
AMPUTATION_TOE	Amputation of toe
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
ANOSMIA	Anosmia
ANTIDEPRESSANTS	Depression medications
ANY_HILMO	Any event in hilmo or specialist outpatient
ANY_OPER	Any operation in hilmo
APPENDACUT_COMPLIC	"Acute appendicitis, with complications"
APPENDACUT_NOCOMPLIC	"Acute appendicitis, no complications"
APPENDICITIS_BROAD	"Appendicitis, broad definition"
ARTHROSIS_COMORB	Arthrosis related co-morbidities
ARTHRO_SPEC	Other specific arthropathies
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections
ASTHMA_ALLERG	Asthma and allergy
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)
ASTHMA_CHILD	Childhood asthma (age<16)
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)
ASTHMA_COMORB	Asthma associated co-morbidites
ASTHMA_CVDMETABOCOMORB	"Co-morbidites, CVD and metabolic diseases"
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma
ASTHMA_EXCL	Excluding asthma or asthma-COPD overlap
ASTHMA_HOSPITAL_INFECTIONS	"Asthma, hospital admission 2, infections"
ASTHMA_HOSPITAL_MAIN	"Asthma, hospital admissions , main diagnosis only"
ASTHMA_HOSPITAL_PNEUMONIA	"Asthma, hospital admissions 3, pneumonia"
ASTHMA_IMMUNECOMORB	Immune disease comorbidities
ASTHMA_INFECTIONS	Asthma-related infections
ASTHMA_MEDICATIO_COMORB	Medication related adverse effects
ASTHMA_MIXED	Asthma mixed form (mode)
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)
ASTHMA_MODE	Asthma (mode)
ASTHMA_NAS	"Asthma, unspecified (mode)"
ASTHMA_NAS_EXMORE	"Asthma, unspecified (mode)" (more controls excluded)
ASTHMA_NONALLERG	Non-allergic asthma
ASTHMA_NOS	Undetermined asthma
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)
ASTHMA_OBESITY	Obesity related asthma
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection
ASTHMA_PNEUMONIA	Asthma-related pneumonia
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis
ASTHMA_PSYCH_COMORB	Psychiatric comorbidites
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia
ATOPIC_STRICT	"Atopic  dermatitis, strict definition"
ATOPIC_STRICT_REIMB	"Atopic dermatitis, strict definition with reimbursement"
AUD	"Alcohol use disorder, ICD-based"
AUD_SWEDISH	"Alcohol use disorder, Swedish definition"
AUTOIMMUNE	Autoimmune diseases
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections
BRONCHITIS	Bronchitis
C3_AML	Acute myeloid leukaemia
C3_AML_EXALLC	Acute myeloid leukaemia (all cancers excluded)
C3_ANUS_ANALCANAL	Malignant neoplasm of anus and anal canal
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal (all cancers excluded)
C3_BILIARY_TRACT	Malignant neoplasm of other and unspecified parts of biliary tract
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract (all cancers excluded)
C3_BLADDER	Malignant neoplasm of bladder
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (all cancers excluded)
C3_BONE_CARTILAGE	Malignant neoplasm of bone and articular cartilage
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage (all cancers excluded)
C3_BRAIN	Malignant neoplasm of brain
C3_BRAIN_EXALLC	Malignant neoplasm of brain (all cancers excluded)
C3_BREAST	Malignant neoplasm of breast
C3_BREAST_EXALLC	Malignant neoplasm of breast (all cancers excluded)
C3_BREAST_HER2NEG	"Malignant neoplasm of breast, HER2-negative"
C3_BREAST_HER2NEG_EXALLC	"Malignant neoplasm of breast, HER2-negative" (all cancers excluded)
C3_BREAST_HERNEG	"Malignant neoplasm of breast, HER-negative"
C3_BREAST_HERNEG_EXALLC	"Malignant neoplasm of breast, HER-negative" (all cancers excluded)
C3_BREAST_HERPLUS	"Malignant neoplasm of breast, HER-positive"
C3_BREAST_HERPLUS_EXALLC	"Malignant neoplasm of breast, HER-positive" (all cancers excluded)
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (all cancers excluded)
C3_CANCER	Malignant neoplasm
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (all cancers excluded)
C3_CLL	Chronic lymphocytic leukaemia
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (all cancers excluded)
C3_COLON	Malignant neoplasm of colon
C3_COLON_ADENO	Colon adenocarcinoma
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (all cancers excluded)
C3_COLON_EXALLC	Malignant neoplasm of colon (all cancers excluded)
C3_COLORECTAL	Colorectal cancer
C3_COLORECTAL_EXALLC	Colorectal cancer (all cancers excluded)
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (all cancers excluded)
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (all cancers excluded)
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (all cancers excluded)
C3_DLBCL	Diffuse large B-cell lymphoma
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (all cancers excluded)
C3_ENDOCRINE	Malignant neoplasm of endocrine gland
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (all cancers excluded)
C3_EYE_ADNEXA	Malignant neoplasm of eye and adnexa
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa (all cancers excluded)
C3_EYE_BRAIN_NEURO	"Malignant neoplasm of eye, brain and central nervous system"
C3_EYE_BRAIN_NEURO_EXALLC	"Malignant neoplasm of eye, brain and central nervous system" (all cancers excluded)
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (all cancers excluded)
C3_FEMALE_GENITAL_NAS	Malignant neoplasm of other and unspecified female genital organs
C3_FEMALE_GENITAL_NAS_EXALLC	Malignant neoplasm of other and unspecified female genital organs (all cancers excluded)
C3_GBM	Brain glioblastoma
C3_GBM_EXALLC	Brain glioblastoma (all cancers excluded)
C3_HEART_MEDIASTINUM_PLEURA	"Malignant neoplasm of heart, mediastinum and pleura"
C3_HEART_MEDIASTINUM_PLEURA_EXALLC	"Malignant neoplasm of heart, mediastinum and pleura" (all cancers excluded)
C3_KIDNEY_NOTRENALPELVIS	"Malignant neoplasm of kidney, except renal pelvis"
C3_KIDNEY_NOTRENALPELVIS_EXALLC	"Malignant neoplasm of kidney, except renal pelvis" (all cancers excluded)
C3_LARYNX	Malignant neoplasm of larynx
C3_LARYNX_EXALLC	Malignant neoplasm of larynx (all cancers excluded)
C3_LIP_ORAL_PHARYNX	"Malignant neoplasm of lip, oral cavity and pharynx"
C3_LIP_ORAL_PHARYNX_EXALLC	"Malignant neoplasm of lip, oral cavity and pharynx" (all cancers excluded)
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts
C3_LIVER_INTRAHEPATIC_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (all cancers excluded)
C3_LUNG_NONSMALL	Non-small cell lung cancer
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer (all cancers excluded)
C3_LYMPHNODES_SECONDARY_NAS	Secondary and unspecified malignant neoplasm of lymph nodes
C3_LYMPHNODES_SECONDARY_NAS_EXALLC	Secondary and unspecified malignant neoplasm of lymph nodes (all cancers excluded)
C3_MALE_GENITAL	malignant neoplasm of male genital organs
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs (all cancers excluded)
C3_MELANOMA_SKIN	Malignant melanoma of skin
C3_MELANOMA_SKIN_EXALLC	Malignant melanoma of skin (all cancers excluded)
C3_MENINGES	Malignant neoplasm of meninges
C3_MENINGES_EXALLC	Malignant neoplasm of meninges (all cancers excluded)
C3_MESOTHELIOMA	Mesothelioma
C3_MESOTHELIOMA_EXALLC	Mesothelioma (all cancers excluded)
C3_MESTOTHEL_SOFTTISSUE	Melignant neoplasm of mesothelium and soft tissue
C3_MESTOTHEL_SOFTTISSUE_EXALLC	Melignant neoplasm of mesothelium and soft tissue (all cancers excluded)
C3_NSCLC_ADENO	"Non-small cell lung cancer, adenocarcinoma"
C3_NSCLC_ADENO_EXALLC	"Non-small cell lung cancer, adenocarcinoma" (all cancers excluded)
C3_NSCLC_SQUAM	"Non-small cell lung cancer, squamous"
C3_NSCLC_SQUAM_EXALLC	"Non-small cell lung cancer, squamous" (all cancers excluded)
C3_OESOPHAGUS	Malignant neoplasm of oesophagus
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus (all cancers excluded)
C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (all cancers excluded)
C3_OVARY	Malignant neoplasm of ovary
C3_OVARY_EXALLC	Malignant neoplasm of ovary (all cancers excluded)
C3_PANCREAS	Malignant neoplasm of pancreas
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas (all cancers excluded)
C3_PROSTATE	Malignant neoplasm of prostate
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (all cancers excluded)
C3_RECTOSIGMOID_JUNCTION	Malignant neoplasm of rectosigmoid junction
C3_RECTOSIGMOID_JUNCTION_EXALLC	Malignant neoplasm of rectosigmoid junction (all cancers excluded)
C3_RECTUM	Malignant neoplasm of rectum
C3_RECTUM_EXALLC	Malignant neoplasm of rectum (all cancers excluded)
C3_RESPIRATORY_INTRATHORACIC	Malignant neoplasm of respiratory system and intrathoracic organs
C3_RESPIRATORY_INTRATHORACIC_EXALLC	Malignant neoplasm of respiratory system and intrathoracic organs (all cancers excluded)
C3_SCLC	Small cell lung cancer
C3_SCLC_EXALLC	Small cell lung cancer (all cancers excluded)
C3_SECONDARY_NAS	Secondary malignant neoplasm of other and unspecified sites
C3_SECONDARY_NAS_EXALLC	Secondary malignant neoplasm of other and unspecified sites (all cancers excluded)
C3_SECONDARY_WITHOUT_SITESPEC	"Malignant neoplasm, without specification of site"
C3_SECONDARY_WITHOUT_SITESPEC_EXALLC	"Malignant neoplasm, without specification of site" (all cancers excluded)
C3_SKIN	Malignant neoplasm of skin
C3_SKIN_EXALLC	Malignant neoplasm of skin (all cancers excluded)
C3_SMALL_INTESTINE	Malignant neoplasm of small intestine
C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine (all cancers excluded)
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS	"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC	"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system" (all cancers excluded)
C3_STOMACH	Malignant neoplasm of stomach
C3_STOMACH_EXALLC	Malignant neoplasm of stomach (all cancers excluded)
C3_TESTIS	Malignant neoplasm of testis
C3_TESTIS_EXALLC	Malignant neoplasm of testis (all cancers excluded)
C3_THYROID_GLAND	Malignant neoplasm of thyroid gland
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland (all cancers excluded)
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm
C3_UNCERTAIN_SECONDARY_EXALLC	Secondary uncertain malignant neoplasm (all cancers excluded)
C3_URINARY_TRACT	Malignant neoplasm of urinary organs
C3_URINARY_TRACT_EXALLC	Malignant neoplasm of urinary organs (all cancers excluded)
C3_VULVA	Malignant neoplasm of vulva
C3_VULVA_EXALLC	Malignant neoplasm of vulva (all cancers excluded)
CAMPYLOENTERITIS	Campylobacter enteritis
CARDIAC_ARRHYTM	Cardiac arrhytmias
CARDIOVERSION	Cardiodefibrillation
CD2_BENIGN	Benign neoplasms
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland
CD2_BENIGN_ADRENAL_EXALLC	Benign neoplasm: Adrenal gland (all cancers excluded)
CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal
CD2_BENIGN_ANUS_ANAL_CANAL_EXALLC	Benign neoplasm: Anus and anal canal (all cancers excluded)
CD2_BENIGN_APPENDIX	Benign neoplasm: Appendix
CD2_BENIGN_APPENDIX_EXALLC	Benign neoplasm: Appendix (all cancers excluded)
CD2_BENIGN_ASCENDING_COLON	Benign neoplasm: Ascending colon
CD2_BENIGN_ASCENDING_COLON_EXALLC	Benign neoplasm: Ascending colon (all cancers excluded)
CD2_BENIGN_BLADDER	Benign neoplasm: Bladder
CD2_BENIGN_BLADDER_EXALLC	Benign neoplasm: Bladder (all cancers excluded)
CD2_BENIGN_BONE_CARTILAGE	Benign neoplasm of bone and articular cartilage
CD2_BENIGN_BONE_CARTILAGE_EXALLC	Benign neoplasm of bone and articular cartilage (all cancers excluded)
CD2_BENIGN_BONE_CARTILAGE_NOS	"Benign neoplasm: Bone and articular cartilage, unspecified"
CD2_BENIGN_BONE_CARTILAGE_NOS_EXALLC	"Benign neoplasm: Bone and articular cartilage, unspecified" (all cancers excluded)
CD2_BENIGN_BONE_LONG_LOWER	Benign neoplasm: Long bones of lower limb
CD2_BENIGN_BONE_LONG_LOWER_EXALLC	Benign neoplasm: Long bones of lower limb (all cancers excluded)
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER	Benign neoplasm: Scapula and long bones of upper limb
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER_EXALLC	Benign neoplasm: Scapula and long bones of upper limb (all cancers excluded)
CD2_BENIGN_BONE_SHORT_LOWER	Benign neoplasm: Short bones of lower limb
CD2_BENIGN_BONE_SHORT_LOWER_EXALLC	Benign neoplasm: Short bones of lower limb (all cancers excluded)
CD2_BENIGN_BONE_SHORT_UPPER	Benign neoplasm: Short bones of upper limb
CD2_BENIGN_BONE_SHORT_UPPER_EXALLC	Benign neoplasm: Short bones of upper limb (all cancers excluded)
CD2_BENIGN_BONE_SKULL_FACE	Benign neoplasm: Bones of skull and face
CD2_BENIGN_BONE_SKULL_FACE_EXALLC	Benign neoplasm: Bones of skull and face (all cancers excluded)
CD2_BENIGN_BRAIN_CNS	Benign neoplasm of brain and other parts of central nervous system
CD2_BENIGN_BRAIN_CNS_EXALLC	Benign neoplasm of brain and other parts of central nervous system (all cancers excluded)
CD2_BENIGN_BRAIN_NOS	"Benign neoplasm: Brain, unspecified"
CD2_BENIGN_BRAIN_NOS_EXALLC	"Benign neoplasm: Brain, unspecified" (all cancers excluded)
CD2_BENIGN_BRAIN_SUPRATENT	"Benign neoplasm: Brain, supratentorial"
CD2_BENIGN_BRAIN_SUPRATENT_EXALLC	"Benign neoplasm: Brain, supratentorial" (all cancers excluded)
CD2_BENIGN_BREAST	Benign neoplasm of breast
CD2_BENIGN_BREAST_EXALLC	Benign neoplasm of breast (all cancers excluded)
CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung
CD2_BENIGN_BRONCHUS_LUNG_EXALLC	Benign neoplasm: Bronchus and lung (all cancers excluded)
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum
CD2_BENIGN_CAECUM_EXALLC	Benign neoplasm: Caecum (all cancers excluded)
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid
CD2_BENIGN_CHOROID_EXALLC	Benign neoplasm: Choroid (all cancers excluded)
CD2_BENIGN_COLON	Benign neoplasm: Colon
CD2_BENIGN_COLON_EXALLC	Benign neoplasm: Colon (all cancers excluded)
CD2_BENIGN_COLON_NOS	"Benign neoplasm: Colon, unspecified"
CD2_BENIGN_COLON_NOS_EXALLC	"Benign neoplasm: Colon, unspecified" (all cancers excluded)
CD2_BENIGN_COLORECANI	"Benign neoplasm of colon, rectum, anus and anal canal"
CD2_BENIGN_COLORECANI_EXALLC	"Benign neoplasm of colon, rectum, anus and anal canal" (all cancers excluded)
CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva
CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (all cancers excluded)
CD2_BENIGN_CONNECTIVE_SOFT	Other benign neoplasms of connective and other soft tissue
CD2_BENIGN_CONNECTIVE_SOFT_EXALLC	Other benign neoplasms of connective and other soft tissue (all cancers excluded)
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	"Benign neoplasm: Connective and other soft tissue of head, face and neck"
CD2_BENIGN_CONNSOFT_HEADFACETRUNK_EXALLC	"Benign neoplasm: Connective and other soft tissue of head, face and neck" (all cancers excluded)
CD2_BENIGN_CONNSOFT_LOWERLIMB	"Benign neoplasm: Connective and other soft tissue of lower limb, including hip"
CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	"Benign neoplasm: Connective and other soft tissue of lower limb, including hip" (all cancers excluded)
CD2_BENIGN_CONNSOFT_NOS	"Benign neoplasm: Connective and other soft tissue, unspecified"
CD2_BENIGN_CONNSOFT_NOS_EXALLC	"Benign neoplasm: Connective and other soft tissue, unspecified" (all cancers excluded)
CD2_BENIGN_CONNSOFT_TRUNK	"Benign neoplasm: Connective and other soft tissue of trunk, unspecified"
CD2_BENIGN_CONNSOFT_TRUNK_EXALLC	"Benign neoplasm: Connective and other soft tissue of trunk, unspecified" (all cancers excluded)
CD2_BENIGN_CONNSOFT_UPPERLIMB	"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder"
CD2_BENIGN_CONNSOFT_UPPERLIMB_EXALLC	"Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder" (all cancers excluded)
CD2_BENIGN_CORPUS_UTERI	Other benign neoplasm of uterus: Corpus uteri
CD2_BENIGN_CORPUS_UTERI_EXALLC	Other benign neoplasm of uterus: Corpus uteri (all cancers excluded)
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves
CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (all cancers excluded)
CD2_BENIGN_DESCENDING_COLON	Benign neoplasm: Descending colon
CD2_BENIGN_DESCENDING_COLON_EXALLC	Benign neoplasm: Descending colon (all cancers excluded)
CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum
CD2_BENIGN_DUODENUM_EXALLC	Benign neoplasm: Duodenum (all cancers excluded)
CD2_BENIGN_EAR_NASAL_SINUS	"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses"
CD2_BENIGN_EAR_NASAL_SINUS_EXALLC	"Benign neoplasm: Middle ear, nasal cavity and accessory sinuses" (all cancers excluded)
CD2_BENIGN_EAR_RESP	Benign neoplasm of middle ear and respiratory system
CD2_BENIGN_EAR_RESP_EXALLC	Benign neoplasm of middle ear and respiratory system (all cancers excluded)
CD2_BENIGN_ENDOCRINE_OTH	Benign neoplasm of other and unspecified endocrine glands
CD2_BENIGN_ENDOCRINE_OTH_EXALLC	Benign neoplasm of other and unspecified endocrine glands (all cancers excluded)
CD2_BENIGN_EXALLC	Benign neoplasms (all cancers excluded)
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa
CD2_BENIGN_EYE_EXALLC	Benign neoplasm of eye and adnexa (all cancers excluded)
CD2_BENIGN_FEMALE_GEN_OTH	Benign neoplasm of other and unspecified female genital organs
CD2_BENIGN_FEMALE_GEN_OTH_EXALLC	Benign neoplasm of other and unspecified female genital organs (all cancers excluded)
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	"Haemangioma and lymphangioma, any site"
