phenocode	name	n_cases	n_controls	path_bucket	path_https
AB1_OTHER_VIRAL	Other viral diseases	2836	174063	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_OTHER_VIRAL.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	517	176382	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PROTOZOAL	Protozoal diseases	226	176673	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_PROTOZOAL.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	1062	175837	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	4620	172279	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_SEXUAL_TRANSMISSION.gz
AB1_TUBERCULOSIS	Tuberculosis	939	175960	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_TUBERCULOSIS.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	784	176115	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_CNS.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	869	176030	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_HEPATITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	3912	172987	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	204	176695	gs://finngen-public-data-r4/summary_stats/finngen_R4_AB1_ZOONOTIC_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AB1_ZOONOTIC_BACTERIAL.gz
ABDOM_HERNIA	Hernia of abodminal wall	5790	171109	gs://finngen-public-data-r4/summary_stats/finngen_R4_ABDOM_HERNIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ABDOM_HERNIA.gz
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	1817	114488	gs://finngen-public-data-r4/summary_stats/finngen_R4_ABDOM_HERNIA_POSTOP.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ABDOM_HERNIA_POSTOP.gz
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	31588	131682	gs://finngen-public-data-r4/summary_stats/finngen_R4_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ACUTE_RESPIRATORY_INFECTIONS.gz
AD_AM	Alzheimer's disease (Atypical or mixed)	615	173836	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_AM.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_AM.gz
AD_AM_EXMORE	Alzheimer's disease (Atypical or mixed) (more controls excluded)	615	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_AM_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_AM_EXMORE.gz
AD_EO	Alzheimer's disease (Early onset)	502	173833	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_EO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_EO.gz
AD_EO_EXMORE	Alzheimer's disease (Early onset) (more controls excluded)	502	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_EO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_EO_EXMORE.gz
AD_LO	Alzheimer's disease (Late onset)	2143	173823	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_LO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_LO.gz
AD_LO_EXMORE	Alzheimer's disease (Late onset) (more controls excluded)	2143	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_LO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_LO_EXMORE.gz
AD_U	Alzheimer's disease (undefined)	150	173839	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_U.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_U.gz
AD_U_EXMORE	Alzheimer's disease (undefined) (more controls excluded)	150	93979	gs://finngen-public-data-r4/summary_stats/finngen_R4_AD_U_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AD_U_EXMORE.gz
ALCOGASTRITIS	Alcoholic gastritis	206	176693	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOGASTRITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOGASTRITIS.gz
ALCOHOLACUTE10	Acute alcohol intoxication	2442	174017	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOLACUTE10.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOLACUTE10.gz
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	7406	169493	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOLMENTAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOLMENTAL.gz
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	10235	166664	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOL_RELATED.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOHOL_RELATED.gz
ALCOLIVER	Alcoholic liver disease	1071	175828	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOLIVER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOLIVER.gz
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	249	176650	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCONEURODEGEN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCONEURODEGEN.gz
ALCOPANCACU	Acohol-induced acute pancreatitis	342	176557	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOPANCACU.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOPANCACU.gz
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	719	176180	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCOPANCCHRON.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCOPANCCHRON.gz
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	1266	175633	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALCO_PRESCRIPTION.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALCO_PRESCRIPTION.gz
ALLERG_ASTHMA	Allergic asthma (mode)	3768	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_ASTHMA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_ASTHMA.gz
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)	3768	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_ASTHMA_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_ASTHMA_EXMORE.gz
ALLERG_RHINITIS	Allergic rhinitis	4300	171926	gs://finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_RHINITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ALLERG_RHINITIS.gz
AMN2	Transient global amnesia	996	170139	gs://finngen-public-data-r4/summary_stats/finngen_R4_AMN2.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AMN2.gz
ANOSMIA	Anosmia	298	50989	gs://finngen-public-data-r4/summary_stats/finngen_R4_ANOSMIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ANOSMIA.gz
ANTIDEPRESSANTS	Depression medications	46441	50989	gs://finngen-public-data-r4/summary_stats/finngen_R4_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ANTIDEPRESSANTS.gz
APPENDACUT_COMPLIC	Acute appendicitis, with complications	3018	163396	gs://finngen-public-data-r4/summary_stats/finngen_R4_APPENDACUT_COMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_APPENDACUT_COMPLIC.gz
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	9458	163396	gs://finngen-public-data-r4/summary_stats/finngen_R4_APPENDACUT_NOCOMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_APPENDACUT_NOCOMPLIC.gz
APPENDICITIS_BROAD	Appendicitis, broad definition	13396	163396	gs://finngen-public-data-r4/summary_stats/finngen_R4_APPENDICITIS_BROAD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_APPENDICITIS_BROAD.gz
ARTHRO_SPEC	Other specific arthropathies	244	141876	gs://finngen-public-data-r4/summary_stats/finngen_R4_ARTHRO_SPEC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ARTHRO_SPEC.gz
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	108	176053	gs://finngen-public-data-r4/summary_stats/finngen_R4_ARTRHO_POSTDYSENTERIC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ARTRHO_POSTDYSENTERIC.gz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	31588	131682	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_ALLERG	Asthma and allergy	1696	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ALLERG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ALLERG.gz
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	1696	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ALLERG_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_ALLERG_EXMORE.gz
ASTHMA_CHILD	Childhood asthma (age<16)	2258	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_CHILD.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_CHILD.gz
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	2258	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_CHILD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_CHILD_EXMORE.gz
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	925	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_EOSINOPHIL_SUGG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_EOSINOPHIL_SUGG.gz
ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only	13526	163373	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_HOSPITAL_MAIN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_HOSPITAL_MAIN.gz
ASTHMA_INFECTIONS	Asthma-related infections	45217	131682	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_INFECTIONS.gz
ASTHMA_MIXED	Asthma mixed form (mode)	540	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MIXED.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MIXED.gz
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)	540	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MIXED_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MIXED_EXMORE.gz
ASTHMA_MODE	Asthma (mode)	15132	113686	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MODE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_MODE.gz
ASTHMA_NAS	Asthma, unspecified (mode)	7168	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NAS.gz
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded)	7168	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NAS_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NAS_EXMORE.gz
ASTHMA_NONALLERG	Non-allergic asthma	2464	149905	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NONALLERG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NONALLERG.gz
ASTHMA_NOS	Undetermined asthma	1318	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NOS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NOS.gz
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)	1318	110120	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NOS_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_NOS_EXMORE.gz
ASTHMA_OBESITY	Obesity related asthma	2984	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_OBESITY.gz
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	401	113428	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_OPPORTUNIST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_OPPORTUNIST_INFECTIONS.gz
ASTHMA_PNEUMONIA	Asthma-related pneumonia	20545	131682	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_PNEUMONIA.gz
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	20619	156280	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_PNEUMONIA_AND_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_PNEUMONIA_AND_SEPSIS.gz
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	319	131682	gs://finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_SEPTICHE_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ASTHMA_SEPTICHE_PNEUMONIA.gz
ATOPIC_STRICT	Atopic  dermatitis, strict definition	4055	172657	gs://finngen-public-data-r4/summary_stats/finngen_R4_ATOPIC_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ATOPIC_STRICT.gz
ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement	4242	161620	gs://finngen-public-data-r4/summary_stats/finngen_R4_ATOPIC_STRICT_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_ATOPIC_STRICT_REIMB.gz
AUD_SWEDISH	Alcohol use disorder, Swedish definition	9372	167527	gs://finngen-public-data-r4/summary_stats/finngen_R4_AUD_SWEDISH.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_AUD_SWEDISH.gz
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	706	174856	gs://finngen-public-data-r4/summary_stats/finngen_R4_BACT_INTEST_INFECTION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_BACT_INTEST_INFECTION_NOS.gz
BRONCHITIS	Bronchitis	20964	155935	gs://finngen-public-data-r4/summary_stats/finngen_R4_BRONCHITIS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_BRONCHITIS.gz
C3_BLADDER	Malignant neoplasm of bladder	875	176024	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BLADDER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BLADDER.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (other cancers excluded from controls)	875	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BLADDER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BLADDER_EXALLC.gz
C3_BRAIN	Malignant neoplasm of brain	366	176533	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BRAIN.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BRAIN.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain (other cancers excluded from controls)	366	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BRAIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BRAIN_EXALLC.gz
C3_BREAST	Malignant neoplasm of breast	6023	94338	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BREAST.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BREAST.gz
C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	6023	83817	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BREAST_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BREAST_EXALLC.gz
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	1385	175514	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BRONCHUS_LUNG.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BRONCHUS_LUNG.gz
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	1385	146279	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_BRONCHUS_LUNG_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_BRONCHUS_LUNG_EXALLC.gz
C3_CANCER	Malignant neoplasm	29617	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CANCER.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CANCER.gz
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	1313	99048	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CERVIX_UTERI.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CERVIX_UTERI.gz
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (other cancers excluded from controls)	1313	83817	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CERVIX_UTERI_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CERVIX_UTERI_EXALLC.gz
C3_CLL	Chronic lymphocytic leukaemia	202	176697	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CLL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CLL.gz
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (other cancers excluded from controls)	202	147277	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CLL_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CLL_EXALLC.gz
C3_COLON	Malignant neoplasm of colon	1448	175451	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON.gz
C3_COLON_ADENO	Colon adenocarcinoma	1131	175768	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_ADENO.gz
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (other cancers excluded from controls)	1131	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_ADENO_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_ADENO_EXALLC.gz
C3_COLON_EXALLC	Malignant neoplasm of colon (other cancers excluded from controls)	1448	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLON_EXALLC.gz
C3_COLORECTAL	Colorectal cancer	2435	174464	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLORECTAL.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLORECTAL.gz
C3_COLORECTAL_EXALLC	Colorectal cancer (other cancers excluded from controls)	2435	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_COLORECTAL_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_COLORECTAL_EXALLC.gz
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	213	176686	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CONNECTIVE_SOFT_NAS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CONNECTIVE_SOFT_NAS.gz
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	213	147282	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CONNECTIVE_SOFT_NAS_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CONNECTIVE_SOFT_NAS_EXALLC.gz
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	879	99482	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CORPUS_UTERI.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CORPUS_UTERI.gz
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (other cancers excluded from controls)	879	83817	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_CORPUS_UTERI_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_CORPUS_UTERI_EXALLC.gz
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	4298	172601	gs://finngen-public-data-r4/summary_stats/finngen_R4_C3_DIGESTIVE_ORGANS.gz	https://storage.googleapis.com/finngen-public-data-r4/summary_stats/finngen_R4_C3_DIGESTIVE_ORGANS.gz
