query	term	label	source	quality	action
Alzheimer's disease (Atypical or mixed)	http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer's disease (Atypical or mixed)	http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer's disease (Early onset)	http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer�s disease (Early onset)	http://www.orpha.net/ORDO/Orphanet_324290	Early-onset Lafora body disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer's disease (more excluded)	http://www.ebi.ac.uk/efo/EFO_0000249	Alzheimer's disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer's disease (Late onset)	http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer�s disease (Late onset)	http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of ethanol					
Acute alcohol intoxication	http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	OLS API EFO lookup	fuzzy	check if valid
Acute alcohol intoxication ICD-9 (inculed in Swedish definition)	http://www.ebi.ac.uk/efo/EFO_0009574	intoxication	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to alcohol, excluding acute intoxication	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Alcohol related diseases and deaths, all endoints					
Alcoholic liver disease	http://www.ebi.ac.uk/efo/EFO_0008573	Alcoholic liver disease	Zooma API lookup	match	
Degeneration of nervous system due to alcohol	http://purl.obolibrary.org/obo/MONDO_0000648	nervous system benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Acohol-induced acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1001507	asparaginase-induced acute pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol-induced chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of unspecified or or other (than ethanol) alcohols	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Use of disulfiram, acamprosate or naltrexone					
Allergic asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic asthma (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis	EFO OBO	match	
Transient global amnesia	http://purl.obolibrary.org/obo/HP_0010534	Transient global amnesia	OLS API HP exact lookup	match	check if in OT
Amputation					
Amputation of toe					
Anosmia	http://www.orpha.net/ORDO/Orphanet_478	anosmia	Zooma API lookup	match	
Depression medications	http://www.ebi.ac.uk/efo/EFO_0007453	postpartum depression	OLS API EFO lookup	fuzzy	check if valid
Any event in cancer register	http://www.ebi.ac.uk/efo/EFO_0000311	cancer	OLS API EFO lookup	fuzzy	check if valid
Any event in hilmo or specialist outpatient	http://www.ebi.ac.uk/efo/EFO_0000482	event free survival time	OLS API EFO lookup	fuzzy	check if valid
Any operation in hilmo	http://www.ebi.ac.uk/efo/EFO_0009951	response to surgery	OLS API EFO lookup	fuzzy	check if valid
Any reimbursement code in KELA					
Arthrosis related co-morbidities					
Asthma-related infections	http://www.ebi.ac.uk/efo/EFO_1001406	Prosthesis-Related Infections	OLS API EFO lookup	fuzzy	check if valid
Asthma-related acute respiratory infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16)	http://www.ebi.ac.uk/efo/EFO_0004591	childhood onset asthma	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16)	http://www.ebi.ac.uk/efo/EFO_0004591	childhood onset asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma associated co-morbidites	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Co-morbidites, CVD and metabolic diseases					
Suggestive for eosinophilic asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Excluding asthma or asthma-COPD overlap	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, hospital admissions 1					
Asthma, hospital admission 2					
Asthma, hospital admissions 3					
Immune disease comorbidities	http://www.ebi.ac.uk/efo/EFO_0000540	immune system disease	OLS API EFO lookup	fuzzy	check if valid
Medication related adverse effects	http://www.ebi.ac.uk/efo/EFO_0009658	adverse effect	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (unspecified)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, unspecified (mode)	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Non-allergic asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Obesity related asthma	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Asthma opportunist infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma-related pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Asthma-related pneumonia or sepsis	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Psychiatric comorbidites	http://purl.obolibrary.org/obo/MONDO_0002025	psychiatric disorder	OLS API EFO lookup	fuzzy	check if valid
Pneumonia derived septichemia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Alcohol use disorder, Swedish definition	http://www.ebi.ac.uk/efo/EFO_0009458	alcohol use disorder measurement	OLS API EFO lookup	fuzzy	check if valid
Other specified/unspecified bacterial intestinal infections	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Biguanides					
Bronchitis	http://www.ebi.ac.uk/efo/EFO_1002018	bronchitis	Zooma API lookup	match	
Malignant neoplasm of bladder	http://www.ebi.ac.uk/efo/EFO_0000292	Malignant neoplasm of bladder	Zooma API lookup	match	
Malignant neoplasm of bladder (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of brain	http://www.ebi.ac.uk/efo/EFO_0003833	Malignant neoplasm of brain	Zooma API lookup	match	
Malignant neoplasm of brain (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003833	brain neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast	http://www.ebi.ac.uk/efo/EFO_0003869	Malignant neoplasm of breast	Zooma API lookup	match	
Malignant neoplasm of breast	http://www.ebi.ac.uk/efo/EFO_0003869	Malignant neoplasm of breast	Zooma API lookup	match	
Malignant neoplasm of breast (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bronchus and lung	http://www.ebi.ac.uk/efo/EFO_0001071	Malignant neoplasm of bronchus and lung	Zooma API lookup	match	
Malignant neoplasm of bronchus and lung (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_1000654	childhood cancer	OLS API EFO lookup	match	
Malignant neoplasm (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon	http://www.ebi.ac.uk/efo/EFO_1001950	Malignant neoplasm of colon	Zooma API lookup	match	
Colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	EFO OBO	match	
Colon adenocarcinoma (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0021063	malignant colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of corpus uteri	http://www.ebi.ac.uk/efo/EFO_0007532	Malignant neoplasm of corpus uteri	Zooma API lookup	match	
Malignant neoplasm of corpus uteri (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0021254	corpus uteri neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of endocrine gland	http://purl.obolibrary.org/obo/MONDO_0021069	malignant endocrine neoplasm	OLS API EFO lookup	match	
Malignant neoplasm of endocrine gland (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0021069	malignant endocrine neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system	http://www.ebi.ac.uk/efo/EFO_0007199	central nervous system tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0007199	central nervous system tuberculosis	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of kidney, except renal pelvis	http://purl.obolibrary.org/obo/MONDO_0002367	kidney cancer	OLS API EFO lookup	match	
Malignant neoplasm of kidney, except renal pelvis (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0005582	renal pelvis carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of lip, oral cavity and pharynx	http://www.ebi.ac.uk/efo/EFO_1001019	lip cancer	OLS API EFO lookup	match	
Malignant neoplasm of lip, oral cavity and pharynx (ICD C excluded)					
Secondary and unspecified malignant neoplasm of lymph nodes	http://www.ebi.ac.uk/efo/EFO_0004906	Secondary and unspecified malignant neoplasm of lymph nodes	Zooma API lookup	match	
Secondary and unspecified malignant neoplasm of lymph nodes (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1001175	secondary Parkinson disease	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of male genital organs	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	OLS API EFO lookup	match	
malignant neoplasm of male genital organs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	OLS API EFO lookup	fuzzy	check if valid
Other malignant neoplasms of skin	http://www.ebi.ac.uk/efo/EFO_0004198	Other malignant neoplasms of skin	Zooma API lookup	match	
Other malignant neoplasms of skin (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0004198	skin neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of ovary	http://www.ebi.ac.uk/efo/EFO_0003893	Malignant neoplasm of ovary	Zooma API lookup	match	
Malignant neoplasm of ovary (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003893	ovarian neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of pancreas	http://www.ebi.ac.uk/efo/EFO_0002618	Malignant neoplasm of pancreas	Zooma API lookup	match	
Malignant neoplasm of pancreas (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0002116	malignant exocrine pancreas neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of prostate	http://www.ebi.ac.uk/efo/EFO_0001663	Malignant neoplasm of prostate	Zooma API lookup	match	
Malignant neoplasm of prostate (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0008315	prostate cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of rectum	http://www.ebi.ac.uk/efo/EFO_1000657	rectum cancer	EFO OBO	match	
Malignant neoplasm of rectum (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000657	rectum cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of respiratory system and intrathoracic organs					
Malignant neoplasm of respiratory system and intrathoracic organs (ICD C excluded)					
Malignant neoplasm of skin	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	OLS API EFO lookup	match	
Malignant neoplasm of skin (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0004198	skin neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of thyroid gland	http://www.ebi.ac.uk/efo/EFO_0002892	Malignant neoplasm of thyroid gland	Zooma API lookup	match	
Malignant neoplasm of thyroid gland (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003841	thyroid neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Campylobacter enteritis	http://purl.obolibrary.org/obo/MONDO_0043579	enteritis	OLS API EFO lookup	fuzzy	check if valid
Malignat neoplasms	http://www.ebi.ac.uk/efo/EFO_1001430	Sublingual Gland Neoplasms	OLS API EFO lookup	fuzzy	check if valid
Cardiac arrhytmias, COPD co-morbidities					
Benign neoplasms	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm	OLS API EFO lookup	match	
Benign neoplasm: Adrenal gland	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Adrenal gland (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon	http://www.ebi.ac.uk/efo/EFO_1000094	Ascending Colon Neuroendocrine Tumor G1	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000094	Ascending Colon Neuroendocrine Tumor G1	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of bone and articular cartilage	http://www.ebi.ac.uk/efo/EFO_0003820	Benign neoplasm of bone and articular cartilage	Zooma API lookup	match	
Benign neoplasm of bone and articular cartilage (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0000631	bone benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of brain and other parts of central nervous system	http://www.ebi.ac.uk/efo/EFO_1000107	Benign neoplasm of brain and other parts of central nervous system	Zooma API lookup	match	
Benign neoplasm of brain and other parts of central nervous system (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0007199	central nervous system tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of breast	http://www.ebi.ac.uk/efo/EFO_0003869	Benign neoplasm of breast	Zooma API lookup	match	
Benign neoplasm of breast (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum	http://www.ebi.ac.uk/efo/EFO_0009255	cecal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0009255	cecal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000211	unspecified peripheral T-cell lymphoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of colon, rectum, anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of colon, rectum, anus and anal canal (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0009660	anus disease	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Other benign neoplasms of connective and other soft tissue	http://www.ebi.ac.uk/efo/EFO_1000541	Other benign neoplasms of connective and other soft tissue	Zooma API lookup	match	
Other benign neoplasms of connective and other soft tissue (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Cranial nerves	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Cranial nerves (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0002431	tumour of cranial and spinal nerves	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Descending colon	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Descending colon (ICD C excluded)					
Benign neoplasm: Middle ear, nasal cavity and accessory sinuses					
Benign neoplasm: Middle ear, nasal cavity and accessory sinuses (ICD C excluded)					
Benign neoplasm of middle ear and respiratory system	http://www.ebi.ac.uk/efo/EFO_0003853	Benign neoplasm of middle ear and respiratory system	Zooma API lookup	match	
Benign neoplasm of middle ear and respiratory system (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0021666	ear infection	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of other and unspecified endocrine glands	http://www.ebi.ac.uk/efo/EFO_0003769	Benign neoplasm of other and unspecified endocrine glands	Zooma API lookup	match	
Benign neoplasm of other and unspecified endocrine glands (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasms (ICD C excluded)					
Benign neoplasm of eye and adnexa	http://www.ebi.ac.uk/efo/EFO_0009546	eye adnexa disease	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of eye and adnexa (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0009546	eye adnexa disease	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of other and unspecified female genital organs	http://www.ebi.ac.uk/efo/EFO_1001331	Benign neoplasm of other and unspecified female genital organs	Zooma API lookup	match	
Benign neoplasm of other and unspecified female genital organs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Haemangioma and lymphangioma, any site					
Haemangioma and lymphangioma, any site (ICD C excluded)					
Haemangioma, any site	http://www.ebi.ac.uk/efo/EFO_1000151	Cavernous Hemangioma	OLS API EFO lookup	fuzzy	check if valid
Haemangioma, any site (ICD C excluded)					
Benign neoplasm: Kidney	http://www.ebi.ac.uk/efo/EFO_1000111	Benign Kidney Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Kidney (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000111	Benign Kidney Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Leiomyoma of uterus	http://www.ebi.ac.uk/efo/EFO_0000731	Leiomyoma of uterus	Zooma API lookup	match	
Leiomyoma of uterus (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0001572	leiomyoma	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm	http://www.ebi.ac.uk/efo/EFO_0000759	Benign lipomatous neoplasm	Zooma API lookup	match	
Benign lipomatous neoplasm (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0044983	benign lipomatous neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of other sites/unspecified	http://purl.obolibrary.org/obo/MONDO_0044983	benign lipomatous neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of other sites/unspecified (ICD C excluded)	http://purl.obolibrary.org/obo/MONDO_0044983	benign lipomatous neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	http://www.ebi.ac.uk/efo/EFO_1000707	hemangioma of subcutaneous tissue	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_1000707	hemangioma of subcutaneous tissue	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	http://www.ebi.ac.uk/efo/EFO_1000707	hemangioma of subcutaneous tissue	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000759	lipoma	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	http://www.ebi.ac.uk/efo/EFO_1000707	hemangioma of subcutaneous tissue	OLS API EFO lookup	fuzzy	check if valid
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000759	lipoma	OLS API EFO lookup	fuzzy	check if valid
Melanocytic naevi	http://www.ebi.ac.uk/efo/EFO_0009675	Melanocytic naevi	Zooma API lookup	match	
Melanocytic naevi (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0009675	melanocytic nevus	OLS API EFO lookup	fuzzy	check if valid
Melanocytic naevi of other and unspecified parts of face	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Melanocytic naevi of other and unspecified parts of face (ICD C excluded)	http://www.ebi.ac.uk/efo/EFO_0000389	cutaneous melanoma	OLS API EFO lookup	fuzzy	check if valid
Melanocytic naevi of lower limb, including hip	http://www.ebi.ac.uk/efo/EFO_0007068	ulcer of lower limb	OLS API EFO lookup	fuzzy	check if valid
