ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection
ASTHMA_PNEUMONIA	Asthma-related pneumonia
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia
ATOPIC_STRICT	Atopic  dermatitis, strict definition
ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement
AUD_SWEDISH	Alcohol use disorder, Swedish definition
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections
BRONCHITIS	Bronchitis
C3_BLADDER	Malignant neoplasm of bladder
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (other cancers excluded from controls)
C3_BRAIN	Malignant neoplasm of brain
C3_BRAIN_EXALLC	Malignant neoplasm of brain (other cancers excluded from controls)
C3_BREAST	Malignant neoplasm of breast
C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)
C3_CANCER	Malignant neoplasm
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (other cancers excluded from controls)
C3_CLL	Chronic lymphocytic leukaemia
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (other cancers excluded from controls)
C3_COLON	Malignant neoplasm of colon
C3_COLON_ADENO	Colon adenocarcinoma
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (other cancers excluded from controls)
C3_COLON_EXALLC	Malignant neoplasm of colon (other cancers excluded from controls)
C3_COLORECTAL	Colorectal cancer
C3_COLORECTAL_EXALLC	Colorectal cancer (other cancers excluded from controls)
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (other cancers excluded from controls)
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (other cancers excluded from controls)
C3_DLBCL	Diffuse large B-cell lymphoma
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (other cancers excluded from controls)
C3_ENDOCRINE	Malignant neoplasm of endocrine gland
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (other cancers excluded from controls)
C3_EYE_BRAIN_NEURO	Malignant neoplasm of eye, brain and central nervous system
C3_EYE_BRAIN_NEURO_EXALLC	Malignant neoplasm of eye, brain and central nervous system (other cancers excluded from controls)
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (other cancers excluded from controls)
C3_KIDNEY_NOTRENALPELVIS	Malignant neoplasm of kidney, except renal pelvis
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis (other cancers excluded from controls)
C3_LIVER_INTRAHEPATIC3_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts
C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	Malignant neoplasm of liver and intrahepatic bile ducts
C3_LIVER_INTRAHEPATIC_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)
C3_LUNG_NONSMALL	Non-small cell lung cancer
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer (other cancers excluded from controls)
C3_LYMPHNODES_SECONDARY_NAS	Secondary and unspecified malignant neoplasm of lymph nodes
C3_LYMPHNODES_SECONDARY_NAS_EXALLC	Secondary and unspecified malignant neoplasm of lymph nodes (other cancers excluded from controls)
C3_MALE_GENITAL	malignant neoplasm of male genital organs
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs (other cancers excluded from controls)
C3_MESTOTHEL_SOFTTISSUE	Melignant neoplasm of mesothelium and soft tissue
C3_MESTOTHEL_SOFTTISSUE_EXALLC	Melignant neoplasm of mesothelium and soft tissue (other cancers excluded from controls)
C3_NSCLC_ADENO	Non-small cell lung cancer, adenocarcinoma
C3_NSCLC_ADENO_EXALLC	Non-small cell lung cancer, adenocarcinoma (other cancers excluded from controls)
C3_NSCLC_SQUAM	Non-small cell lung cancer, squamous
C3_NSCLC_SQUAM_EXALLC	Non-small cell lung cancer, squamous (other cancers excluded from controls)
C3_OESOPHAGUS	Malignant neoplasm of oesophagus
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus (other cancers excluded from controls)
C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (other cancers excluded from controls)
C3_OVARY	Malignant neoplasm of ovary
C3_OVARY_EXALLC	Malignant neoplasm of ovary (other cancers excluded from controls)
C3_PANCREAS	Malignant neoplasm of pancreas
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas (other cancers excluded from controls)
C3_PROSTATE	Malignant neoplasm of prostate
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (other cancers excluded from controls)
C3_RECTUM	Malignant neoplasm of rectum
C3_RECTUM_EXALLC	Malignant neoplasm of rectum (other cancers excluded from controls)
C3_RESPIRATORY_INTRATHORACIC	Malignant neoplasm of respiratory system and intrathoracic organs
C3_RESPIRATORY_INTRATHORACIC_EXALLC	Malignant neoplasm of respiratory system and intrathoracic organs (other cancers excluded from controls)
C3_SECONDARY_WITHOUT_SITESPEC	Malignant neoplasm, without specification of site
C3_SECONDARY_WITHOUT_SITESPEC_EXALLC	Malignant neoplasm, without specification of site (other cancers excluded from controls)
C3_SKIN	Malignant neoplasm of skin
C3_SKIN_EXALLC	Malignant neoplasm of skin (other cancers excluded from controls)
C3_SMALL_INTESTINE	Malignant neoplasm of small intestine
C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine (other cancers excluded from controls)
C3_STOMACH	Malignant neoplasm of stomach
C3_STOMACH_EXALLC	Malignant neoplasm of stomach (other cancers excluded from controls)
C3_TESTIS	Malignant neoplasm of testis
C3_TESTIS_EXALLC	Malignant neoplasm of testis (other cancers excluded from controls)
C3_THYROID_GLAND	Malignant neoplasm of thyroid gland
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland (other cancers excluded from controls)
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm
C3_UNCERTAIN_SECONDARY_EXALLC	Secondary uncertain malignant neoplasm (other cancers excluded from controls)
C3_URINARY_TRACT	Malignant neoplasm of urinary organs
C3_URINARY_TRACT_EXALLC	Malignant neoplasm of urinary organs (other cancers excluded from controls)
CAMPYLOENTERITIS	Campylobacter enteritis
CANCER	Malignat neoplasms
CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities
CD2_BENIGN	Benign neoplasms
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland
CD2_BENIGN_ADRENAL_EXALLC	Benign neoplasm: Adrenal gland (other cancers excluded from controls)
CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal
CD2_BENIGN_ANUS_ANAL_CANAL_EXALLC	Benign neoplasm: Anus and anal canal (other cancers excluded from controls)
CD2_BENIGN_ASCENDING_COLON	Benign neoplasm: Ascending colon
CD2_BENIGN_ASCENDING_COLON_EXALLC	Benign neoplasm: Ascending colon (other cancers excluded from controls)
CD2_BENIGN_BONE_CARTILAGE	Benign neoplasm of bone and articular cartilage
CD2_BENIGN_BONE_CARTILAGE_EXALLC	Benign neoplasm of bone and articular cartilage (other cancers excluded from controls)
CD2_BENIGN_BONE_LONG_LOWER	Benign neoplasm: Long bones of lower limb
CD2_BENIGN_BONE_LONG_LOWER_EXALLC	Benign neoplasm: Long bones of lower limb (other cancers excluded from controls)
CD2_BENIGN_BONE_SHORT_UPPER	Benign neoplasm: Short bones of upper limb
CD2_BENIGN_BONE_SHORT_UPPER_EXALLC	Benign neoplasm: Short bones of upper limb (other cancers excluded from controls)
CD2_BENIGN_BRAIN_CNS	Benign neoplasm of brain and other parts of central nervous system
CD2_BENIGN_BRAIN_CNS_EXALLC	Benign neoplasm of brain and other parts of central nervous system (other cancers excluded from controls)
CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial
CD2_BENIGN_BRAIN_SUPRATENT_EXALLC	Benign neoplasm: Brain, supratentorial (other cancers excluded from controls)
CD2_BENIGN_BREAST	Benign neoplasm of breast
CD2_BENIGN_BREAST_EXALLC	Benign neoplasm of breast (other cancers excluded from controls)
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum
CD2_BENIGN_CAECUM_EXALLC	Benign neoplasm: Caecum (other cancers excluded from controls)
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid
CD2_BENIGN_CHOROID_EXALLC	Benign neoplasm: Choroid (other cancers excluded from controls)
CD2_BENIGN_COLON	Benign neoplasm: Colon
CD2_BENIGN_COLON_EXALLC	Benign neoplasm: Colon (other cancers excluded from controls)
CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified
CD2_BENIGN_COLON_NOS_EXALLC	Benign neoplasm: Colon, unspecified (other cancers excluded from controls)
CD2_BENIGN_COLORECANI	Benign neoplasm of colon, rectum, anus and anal canal
CD2_BENIGN_COLORECANI_EXALLC	Benign neoplasm of colon, rectum, anus and anal canal (other cancers excluded from controls)
CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva
CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)
CD2_BENIGN_CONNECTIVE_SOFT	Other benign neoplasms of connective and other soft tissue
CD2_BENIGN_CONNECTIVE_SOFT_EXALLC	Other benign neoplasms of connective and other soft tissue (other cancers excluded from controls)
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	Benign neoplasm: Connective and other soft tissue of head, face and neck
CD2_BENIGN_CONNSOFT_HEADFACETRUNK_EXALLC	Benign neoplasm: Connective and other soft tissue of head, face and neck (other cancers excluded from controls)
CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip
CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)
CD2_BENIGN_CONNSOFT_NOS	Benign neoplasm: Connective and other soft tissue, unspecified
CD2_BENIGN_CONNSOFT_NOS_EXALLC	Benign neoplasm: Connective and other soft tissue, unspecified (other cancers excluded from controls)
CD2_BENIGN_CONNSOFT_UPPERLIMB	Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder
CD2_BENIGN_CONNSOFT_UPPERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder (other cancers excluded from controls)
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves
CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (other cancers excluded from controls)
CD2_BENIGN_DESCENDING_COLON	Benign neoplasm: Descending colon
CD2_BENIGN_DESCENDING_COLON_EXALLC	Benign neoplasm: Descending colon (other cancers excluded from controls)
CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum
CD2_BENIGN_DUODENUM_EXALLC	Benign neoplasm: Duodenum (other cancers excluded from controls)
CD2_BENIGN_EAR_NASAL_SINUS	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses
CD2_BENIGN_EAR_NASAL_SINUS_EXALLC	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses (other cancers excluded from controls)
CD2_BENIGN_EAR_RESP	Benign neoplasm of middle ear and respiratory system
CD2_BENIGN_EAR_RESP_EXALLC	Benign neoplasm of middle ear and respiratory system (other cancers excluded from controls)
CD2_BENIGN_ENDOCRINE_OTH	Benign neoplasm of other and unspecified endocrine glands
CD2_BENIGN_ENDOCRINE_OTH_EXALLC	Benign neoplasm of other and unspecified endocrine glands (other cancers excluded from controls)
CD2_BENIGN_EXALLC	Benign neoplasms (other cancers excluded from controls)
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa
CD2_BENIGN_EYE_EXALLC	Benign neoplasm of eye and adnexa (other cancers excluded from controls)
CD2_BENIGN_FEMALE_GEN_OTH	Benign neoplasm of other and unspecified female genital organs
CD2_BENIGN_FEMALE_GEN_OTH_EXALLC	Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls)
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)
CD2_BENIGN_HEMANGIOMA	Haemangioma, any site
CD2_BENIGN_HEMANGIOMA_EXALLC	Haemangioma, any site (other cancers excluded from controls)
CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney
CD2_BENIGN_KIDNEY_EXALLC	Benign neoplasm: Kidney (other cancers excluded from controls)
CD2_BENIGN_LARYNX	Benign neoplasm: Larynx
CD2_BENIGN_LARYNX_EXALLC	Benign neoplasm: Larynx (other cancers excluded from controls)
CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus
CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (other cancers excluded from controls)
CD2_BENIGN_LIP	Benign neoplasm: Lip
CD2_BENIGN_LIPOMATOUS	Benign lipomatous neoplasm
CD2_BENIGN_LIPOMATOUS_EXALLC	Benign lipomatous neoplasm (other cancers excluded from controls)
CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified
CD2_BENIGN_LIPO_NOS_EXALLC	Benign lipomatous neoplasm of other sites/unspecified (other cancers excluded from controls)
CD2_BENIGN_LIPO_SKIN_HEADFACENECK	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck
CD2_BENIGN_LIPO_SKIN_HEADFACENECK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck (other cancers excluded from controls)
CD2_BENIGN_LIPO_SKIN_LIMBS	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs
CD2_BENIGN_LIPO_SKIN_LIMBS_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs (other cancers excluded from controls)
CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
CD2_BENIGN_LIPO_SKIN_TRUNK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (other cancers excluded from controls)
CD2_BENIGN_LIP_EXALLC	Benign neoplasm: Lip (other cancers excluded from controls)
CD2_BENIGN_LIVER	Benign neoplasm: Liver
CD2_BENIGN_LIVER_EXALLC	Benign neoplasm: Liver (other cancers excluded from controls)
CD2_BENIGN_LIVE_BILE	Benign neoplasm: Liver/bile ducts
CD2_BENIGN_LIVE_BILE_EXALLC	Benign neoplasm: Liver/bile ducts (other cancers excluded from controls)
CD2_BENIGN_MALE_GEN	Benign neoplasm of male genital organs
CD2_BENIGN_MALE_GEN_EXALLC	Benign neoplasm of male genital organs (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC	Melanocytic naevi
CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_FACE	Melanocytic naevi of other and unspecified parts of face
CD2_BENIGN_MELANOCYTIC_FACE_EXALLC	Melanocytic naevi of other and unspecified parts of face (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_LOWERLIMB	Melanocytic naevi of lower limb, including hip
CD2_BENIGN_MELANOCYTIC_LOWERLIMB_EXALLC	Melanocytic naevi of lower limb, including hip (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_NOS	Melanocytic naevi, other sites/unspecified
CD2_BENIGN_MELANOCYTIC_NOS_EXALLC	Melanocytic naevi, other sites/unspecified (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_SCALPNECK	Melanocytic naevi of scalp and neck
CD2_BENIGN_MELANOCYTIC_SCALPNECK_EXALLC	Melanocytic naevi of scalp and neck (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk
CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (other cancers excluded from controls)
CD2_BENIGN_MELANOCYTIC_UPPERLIMB	Melanocytic naevi of upper limb, including shoulder
CD2_BENIGN_MELANOCYTIC_UPPERLIMB_EXALLC	Melanocytic naevi of upper limb, including shoulder (other cancers excluded from controls)
CD2_BENIGN_MENINGES	Benign neoplasm of meninges
CD2_BENIGN_MENINGES_CEREBRAL	Benign neoplasm: Cerebral meninges
CD2_BENIGN_MENINGES_CEREBRAL_EXALLC	Benign neoplasm: Cerebral meninges (other cancers excluded from controls)
CD2_BENIGN_MENINGES_EXALLC	Benign neoplasm of meninges (other cancers excluded from controls)
CD2_BENIGN_MENINGES_NOS	Beningn neoplasm: Meninges, unspecified
CD2_BENIGN_MENINGES_NOS_EXALLC	Beningn neoplasm: Meninges, unspecified (other cancers excluded from controls)
CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth
CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls)
CD2_BENIGN_MOUTH_PHARYNX	Benign neoplasm of mouth and pharynx
CD2_BENIGN_MOUTH_PHARYNX_EXALLC	Benign neoplasm of mouth and pharynx (other cancers excluded from controls)
CD2_BENIGN_NOS	Benign neoplasm: Other/unspecified site
CD2_BENIGN_NOS_EXALLC	Benign neoplasm: Other/unspecified site (other cancers excluded from controls)
CD2_BENIGN_OTHERDIGESTIVE	Benign neoplasm of other and ill-defined parts of digestive system
CD2_BENIGN_OTHERDIGESTIVE_EXALLC	Benign neoplasm of other and ill-defined parts of digestive system (other cancers excluded from controls)
CD2_BENIGN_OTHER_NOS	Benign neoplasm of other and unspecified sites
CD2_BENIGN_OTHER_NOS_EXALLC	Benign neoplasm of other and unspecified sites (other cancers excluded from controls)
CD2_BENIGN_OVARY	Benign neoplasm of ovary
CD2_BENIGN_OVARY_EXALLC	Benign neoplasm of ovary (other cancers excluded from controls)
CD2_BENIGN_PAROTID	Benign neoplasm: Parotid gland
CD2_BENIGN_PAROTID_EXALLC	Benign neoplasm: Parotid gland (other cancers excluded from controls)
CD2_BENIGN_PERIPH_AUTO_NEURO	Benign neoplasm: Peripheral nerves and autonomic nervous system
CD2_BENIGN_PERIPH_AUTO_NEURO_EXALLC	Benign neoplasm: Peripheral nerves and autonomic nervous system (other cancers excluded from controls)
CD2_BENIGN_PITUITARY_CRANIPHAR	Benign neoplasm: Pituitary gland, craniopharyngeal duct
CD2_BENIGN_PITUITARY_CRANIPHAR_EXALLC	Benign neoplasm: Pituitary gland, craniopharyngeal duct (other cancers excluded from controls)
CD2_BENIGN_RECTOSIGMOID_JUNC	Benign neoplasm: Rectosigmoid junction
CD2_BENIGN_RECTOSIGMOID_JUNC_EXALLC	Benign neoplasm: Rectosigmoid junction (other cancers excluded from controls)
CD2_BENIGN_RECTUM	Benign neoplasm: Rectum
CD2_BENIGN_RECTUM_ANAL	Benign neoplasm: Rectum, anus and anal canal
CD2_BENIGN_RECTUM_ANAL_EXALLC	Benign neoplasm: Rectum, anus and anal canal (other cancers excluded from controls)
CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (other cancers excluded from controls)
CD2_BENIGN_SALIVARY	Benign neoplasm of major salivary glands
CD2_BENIGN_SALIVARY_EXALLC	Benign neoplasm of major salivary glands (other cancers excluded from controls)
CD2_BENIGN_SALIVARY_NOS	Benign neoplasm: other/unspecified salivary gland
CD2_BENIGN_SALIVARY_NOS_EXALLC	Benign neoplasm: other/unspecified salivary gland (other cancers excluded from controls)
CD2_BENIGN_SIGMOID_COLON	Benign neoplasm: Sigmoid colon
CD2_BENIGN_SIGMOID_COLON_EXALLC	Benign neoplasm: Sigmoid colon (other cancers excluded from controls)
CD2_BENIGN_SKIN	Other benign neoplasms of skin
CD2_BENIGN_SKIN_EAR	Benign neoplasm: Skin of ear and external auricular canal
CD2_BENIGN_SKIN_EAR_EXALLC	Benign neoplasm: Skin of ear and external auricular canal (other cancers excluded from controls)
CD2_BENIGN_SKIN_EXALLC	Other benign neoplasms of skin (other cancers excluded from controls)
CD2_BENIGN_SKIN_EYELID	Benign neoplasm: Skin of eyelid, including canthus
CD2_BENIGN_SKIN_EYELID_EXALLC	Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)
CD2_BENIGN_SKIN_FACE	Benign neoplasm: Skin of other and unspecified parts of face
CD2_BENIGN_SKIN_FACE_EXALLC	Benign neoplasm: Skin of other and unspecified parts of face (other cancers excluded from controls)
CD2_BENIGN_SKIN_LIP	Benign neoplasm: Skin of lip
CD2_BENIGN_SKIN_LIP_EXALLC	Benign neoplasm: Skin of lip (other cancers excluded from controls)
CD2_BENIGN_SKIN_LOWERLIMB	Benign neoplasm: Skin of lower limb, including hip
CD2_BENIGN_SKIN_LOWERLIMB_EXALLC	Benign neoplasm: Skin of lower limb, including hip (other cancers excluded from controls)
CD2_BENIGN_SKIN_NOS	Benign neoplasm: Skin, unspecified
CD2_BENIGN_SKIN_NOS_EXALLC	Benign neoplasm: Skin, unspecified (other cancers excluded from controls)
CD2_BENIGN_SKIN_SCALPNECK	Benign neoplasm: Skin of scalp and neck
CD2_BENIGN_SKIN_SCALPNECK_EXALLC	Benign neoplasm: Skin of scalp and neck (other cancers excluded from controls)
CD2_BENIGN_SKIN_TRUNK	Benign neoplasm: Skin of trunk
CD2_BENIGN_SKIN_TRUNK_EXALLC	Benign neoplasm: Skin of trunk (other cancers excluded from controls)
CD2_BENIGN_SKIN_UPPERLIMB	Benign neoplasm: Skin of upper limb, including shoulder
CD2_BENIGN_SKIN_UPPERLIMB_EXALLC	Benign neoplasm: Skin of upper limb, including shoulder (other cancers excluded from controls)
CD2_BENIGN_SMALL_INTESTINE	Benign neoplasm: Small intestine
CD2_BENIGN_SMALL_INTESTINE_EXALLC	Benign neoplasm: Small intestine (other cancers excluded from controls)
CD2_BENIGN_SMALL_INTESTINE_OTH	Benign neoplasm: Other and unspecified parts of small intestine
CD2_BENIGN_SMALL_INTESTINE_OTH_EXALLC	Benign neoplasm: Other and unspecified parts of small intestine (other cancers excluded from controls)
CD2_BENIGN_SPINAL_CORD	Benign neoplasm: Spinal cord
CD2_BENIGN_SPINAL_CORD_EXALLC	Benign neoplasm: Spinal cord (other cancers excluded from controls)
CD2_BENIGN_STOMACH	Benign neoplasm: Stomach
CD2_BENIGN_STOMACH_EXALLC	Benign neoplasm: Stomach (other cancers excluded from controls)
CD2_BENIGN_THYROID	Benign neoplasm of thyroid gland
CD2_BENIGN_THYROID_EXALLC	Benign neoplasm of thyroid gland (other cancers excluded from controls)
CD2_BENIGN_TONGUE	Benign neoplasm: Tongue
CD2_BENIGN_TONGUE_EXALLC	Benign neoplasm: Tongue (other cancers excluded from controls)
