query	term	label	source	quality	action
Certain zoonotic bacterial diseases	http://purl.obolibrary.org/obo/MONDO_0044746	zoonotic bacterial infection	OLS API EFO lookup	fuzzy	check if valid
Pain in abdomen/pelvis	http://www.ebi.ac.uk/efo/EFO_0003766	pain in abdomen	OLS API EFO lookup	fuzzy	check if valid
Hernia of abodminal wall	http://www.ebi.ac.uk/efo/EFO_1001866	ventral hernia	OLS API EFO lookup	fuzzy	check if valid
Hernia of abodminal wall, postoperative	http://www.ebi.ac.uk/efo/EFO_1001866	ventral hernia	OLS API EFO lookup	fuzzy	check if valid
Asthma/COPD-related acute respiratory infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (Atypical or mixed)	http://www.ebi.ac.uk/efo/EFO_0007374	mixed connective tissue disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (Atypical or mixed) (more controls excluded)					
Alzheimer’s disease (Early onset)	http://www.orpha.net/ORDO/Orphanet_324290	Early-onset Lafora body disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (Early onset) (more controls excluded)	http://www.orpha.net/ORDO/Orphanet_2828	Young adult-onset Parkinsonism	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (Late onset)	http://www.ebi.ac.uk/efo/EFO_1001870	late-onset Alzheimers disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (Late onset) (more controls excluded)	http://www.orpha.net/ORDO/Orphanet_411602	Hereditary late-onset Parkinson disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (undefined)	http://www.ebi.ac.uk/efo/EFO_0007473	Ritter's disease	OLS API EFO lookup	fuzzy	check if valid
Alzheimer’s disease (undefined) (more controls excluded)					
Toxic effect of ethanol					
Alcoholic gastritis	http://www.ebi.ac.uk/efo/EFO_0000217	gastritis	OLS API EFO lookup	fuzzy	check if valid
Acute alcohol intoxication	http://www.ebi.ac.uk/efo/EFO_0003829	alcohol dependence	OLS API EFO lookup	fuzzy	check if valid
Mental and behavioural disorders due to alcohol, excluding acute intoxication	http://www.ebi.ac.uk/efo/EFO_0000677	mental or behavioural disorder	OLS API EFO lookup	fuzzy	check if valid
Alcohol related diseases and deaths, all endoints					
Alcoholic liver disease	http://www.ebi.ac.uk/efo/EFO_0008573	alcoholic liver disease	EFO OBO	match	
Degeneration of nervous system due to alcohol	http://purl.obolibrary.org/obo/MONDO_0000648	nervous system benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Acohol-induced acute pancreatitis	http://www.ebi.ac.uk/efo/EFO_1001507	asparaginase-induced acute pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol-induced chronic pancreatitis	http://www.ebi.ac.uk/efo/EFO_0000342	chronic pancreatitis	OLS API EFO lookup	fuzzy	check if valid
Toxic effect of unspecified or or other (than ethanol) alcohols	http://www.ebi.ac.uk/efo/EFO_0009734	unspecified juvenile idiopathic arthritis	OLS API EFO lookup	fuzzy	check if valid
Use of disulfiram, acamprosate or naltrexone					
Allergic asthma (mode)	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic asthma (mode) (more controls excluded)	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0005854	allergic rhinitis	EFO OBO	match	
Transient global amnesia	http://www.ebi.ac.uk/efo/EFO_1001454	amnesia	OLS API EFO lookup	fuzzy	check if valid
Anosmia	http://www.orpha.net/ORDO/Orphanet_478	anosmia	Zooma API lookup	match	
Depression medications	http://www.ebi.ac.uk/efo/EFO_0003761	unipolar depression	OLS API EFO lookup	fuzzy	check if valid
Aphagia and dysphagia					
Acute appendicitis, with complications	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Acute appendicitis, no complications	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Appendicitis, broad definition	http://www.ebi.ac.uk/efo/EFO_0007149	appendicitis	OLS API EFO lookup	fuzzy	check if valid
Other specific arthropathies	http://www.ebi.ac.uk/efo/EFO_1000999	Other specific arthropathies	Zooma API lookup	match	
Asthma-related acute respiratory infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma and allergy	http://www.ebi.ac.uk/efo/EFO_0002686	atopy	OLS API EFO lookup	fuzzy	check if valid
Asthma and allergy (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0002686	atopy	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16)	http://www.ebi.ac.uk/efo/EFO_0004591	childhood onset asthma	OLS API EFO lookup	fuzzy	check if valid
Childhood asthma (age<16) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Suggestive for eosinophilic asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, hospital admissions , main diagnosis only	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma-related infections	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma mixed form (mode) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, unspecified (mode)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Asthma, unspecified (mode) (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Non-allergic asthma	http://purl.obolibrary.org/obo/MONDO_0004784	allergic asthma	OLS API EFO lookup	fuzzy	check if valid
Undetermined asthma	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Undetermined asthma (more controls excluded)	http://www.ebi.ac.uk/efo/EFO_0000270	asthma	OLS API EFO lookup	fuzzy	check if valid
Obesity related asthma	http://www.ebi.ac.uk/efo/EFO_0001073	obesity	OLS API EFO lookup	fuzzy	check if valid
Asthma and opportunit respiratory infection					
Asthma-related pneumonia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Asthma-related pneumonia or sepsis	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Pneumonia derived septichemia	http://www.ebi.ac.uk/efo/EFO_0003106	pneumonia	OLS API EFO lookup	fuzzy	check if valid
Atopic  dermatitis, strict definition	http://www.ebi.ac.uk/efo/EFO_1000651	recalcitrant atopic dermatitis	OLS API EFO lookup	fuzzy	check if valid
Atopic dermatitis, strict definition with reimbursement	http://www.ebi.ac.uk/efo/EFO_1000651	recalcitrant atopic dermatitis	OLS API EFO lookup	fuzzy	check if valid
Alcohol use disorder, Swedish definition	http://www.ebi.ac.uk/efo/EFO_0009458	alcohol use disorder measurement	OLS API EFO lookup	fuzzy	check if valid
Other specified/unspecified bacterial intestinal infections	http://www.ebi.ac.uk/efo/EFO_1001272	bacterial pneumonia	OLS API EFO lookup	fuzzy	check if valid
Bronchitis	http://www.ebi.ac.uk/efo/EFO_0009661	bronchitis	EFO OBO	match	
Malignant neoplasm of bladder	http://purl.obolibrary.org/obo/MONDO_0001187	urinary bladder cancer	EFO OBO	match	
Malignant neoplasm of bladder (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of brain	http://purl.obolibrary.org/obo/MONDO_0001657	brain cancer	EFO OBO	match	
Malignant neoplasm of brain (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003833	brain neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of breast	http://purl.obolibrary.org/obo/MONDO_0007254	breast cancer	EFO OBO	match	
Malignant neoplasm of breast (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003869	breast neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of bronchus and lung	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	EFO OBO	match	
Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0001672	bronchus cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_1000654	childhood cancer	EFO OBO	match	
Malignant neoplasm of cervix uteri	http://purl.obolibrary.org/obo/MONDO_0002974	cervical cancer	EFO OBO	match	
Malignant neoplasm of cervix uteri (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0021230	uterine cervix neoplasm	OLS API EFO lookup	fuzzy	check if valid
Chronic lymphocytic leukaemia	http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	OLS API EFO lookup	match	
Chronic lymphocytic leukaemia (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon	http://purl.obolibrary.org/obo/MONDO_0021063	malignant colon neoplasm	EFO OBO	match	
Colon adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	EFO OBO	match	
Colon adenocarcinoma (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1001949	colon adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of colon (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0021063	malignant colon neoplasm	OLS API EFO lookup	fuzzy	check if valid
Colorectal cancer	http://www.ebi.ac.uk/efo/EFO_1001951	colorectal carcinoma	EFO OBO	match	
Colorectal cancer (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0005842	colorectal cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of other connective and soft tissue	http://www.ebi.ac.uk/efo/EFO_1000541	Malignant neoplasm of other connective and soft tissue	Zooma API lookup	match	
Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1001968	soft tissue sarcoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of corpus uteri	http://www.ebi.ac.uk/efo/EFO_0007532	Malignant neoplasm of corpus uteri	Zooma API lookup	match	
Malignant neoplasm of corpus uteri (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0021254	corpus uteri neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of digestive organs (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0008549	digestive system neoplasm	OLS API EFO lookup	fuzzy	check if valid
Diffuse large B-cell lymphoma	http://www.ebi.ac.uk/efo/EFO_0000403	diffuse large B-cell lymphoma	Zooma API lookup	match	
Diffuse large B-cell lymphoma (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000191	Colorectal Diffuse Large B-Cell Lymphoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of endocrine gland	http://purl.obolibrary.org/obo/MONDO_0021069	malignant endocrine neoplasm	EFO OBO	match	
Malignant neoplasm of endocrine gland (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003769	endocrine neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system	http://www.ebi.ac.uk/efo/EFO_1000158	Central Nervous System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of eye, brain and central nervous system (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000326	central nervous system cancer	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs	http://www.ebi.ac.uk/efo/EFO_1001331	Genital neoplasm, female	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of female genital organs (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0008622	female genital tract polyp	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of kidney, except renal pelvis	http://www.ebi.ac.uk/efo/EFO_0003865	"""Malignant neoplasm of kidney, except renal pelvis"""	Zooma API lookup	match	
Malignant neoplasm of kidney, except renal pelvis (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003865	kidney neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of liver and intrahepatic bile ducts	http://www.ebi.ac.uk/efo/EFO_1001513	Malignant neoplasm of liver and intrahepatic bile ducts	Zooma API lookup	match	
Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1001513	liver neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of liver and intrahepatic bile ducts	http://www.ebi.ac.uk/efo/EFO_1001513	Malignant neoplasm of liver and intrahepatic bile ducts	Zooma API lookup	match	
Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1001513	liver neoplasm	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer	http://www.ebi.ac.uk/efo/EFO_0003060	non-small cell lung carcinoma	EFO OBO	match	
Non-small cell lung cancer (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0005288	non-small cell lung adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Secondary and unspecified malignant neoplasm of lymph nodes	http://www.ebi.ac.uk/efo/EFO_0004906	Secondary and unspecified malignant neoplasm of lymph nodes	Zooma API lookup	match	
Secondary and unspecified malignant neoplasm of lymph nodes (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1001175	secondary Parkinson disease	OLS API EFO lookup	fuzzy	check if valid
malignant neoplasm of male genital organs	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	EFO OBO	match	
malignant neoplasm of male genital organs (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0007355	male reproductive organ cancer	OLS API EFO lookup	fuzzy	check if valid
Melignant neoplasm of mesothelium and soft tissue					
Melignant neoplasm of mesothelium and soft tissue (other cancers excluded from controls)					
Non-small cell lung cancer, adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0005288	non-small cell lung adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, adenocarcinoma (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0005288	non-small cell lung adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, squamous	http://purl.obolibrary.org/obo/MONDO_0056806	non-small cell squamous lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Non-small cell lung cancer, squamous (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0056806	non-small cell squamous lung carcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of oesophagus	http://www.ebi.ac.uk/efo/EFO_0002916	Malignant neoplasm of oesophagus	Zooma API lookup	match	
Malignant neoplasm of oesophagus (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Other malignant neoplasms of skin (=non-melanoma skin cancer)	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	OLS API EFO lookup	fuzzy	check if valid
Other malignant neoplasms of skin (=non-melanoma skin cancer) (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of ovary	http://purl.obolibrary.org/obo/MONDO_0008170	ovarian cancer	EFO OBO	match	
Malignant neoplasm of ovary (other cancers excluded from controls)	http://www.orpha.net/ORDO/Orphanet_398934	Malignant epithelial tumor of ovary	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of pancreas	http://www.ebi.ac.uk/efo/EFO_1000359	Malignant Pancreatic Neoplasm	EFO OBO	match	
Malignant neoplasm of pancreas (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0002116	malignant exocrine pancreas neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of prostate	http://purl.obolibrary.org/obo/MONDO_0008315	prostate cancer	EFO OBO	match	
Malignant neoplasm of prostate (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000673	prostate adenocarcinoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of rectum	http://www.ebi.ac.uk/efo/EFO_1000657	rectum cancer	EFO OBO	match	
Malignant neoplasm of rectum (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0002167	rectum malignant melanoma	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of respiratory system and intrathoracic organs					
Malignant neoplasm of respiratory system and intrathoracic organs (other cancers excluded from controls)					
Malignant neoplasm, without specification of site	http://www.ebi.ac.uk/efo/EFO_0000311	Malignant neoplasm without specification of site	Zooma API lookup	match	
Malignant neoplasm, without specification of site (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of skin	http://purl.obolibrary.org/obo/MONDO_0002898	skin cancer	EFO OBO	match	
Malignant neoplasm of skin (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0004198	skin neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of small intestine	http://purl.obolibrary.org/obo/MONDO_0000956	small intestine cancer	EFO OBO	match	
Malignant neoplasm of small intestine (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0004251	small intestine neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of stomach	http://purl.obolibrary.org/obo/MONDO_0001056	gastric cancer	EFO OBO	match	
Malignant neoplasm of stomach (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003897	stomach neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of testis	http://www.ebi.ac.uk/efo/EFO_0005088	testicular carcinoma	EFO OBO	match	
Malignant neoplasm of testis (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of thyroid gland	http://purl.obolibrary.org/obo/MONDO_0002108	thyroid cancer	EFO OBO	match	
Malignant neoplasm of thyroid gland (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003841	thyroid neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Secondary uncertain malignant neoplasm (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0009812	secondary malignant neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Malignant neoplasm of urinary organs (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000363	Malignant Urinary System Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Campylobacter enteritis	http://purl.obolibrary.org/obo/MONDO_0043579	enteritis	OLS API EFO lookup	fuzzy	check if valid
Malignat neoplasms	http://www.ebi.ac.uk/efo/EFO_1001430	Sublingual Gland Neoplasms	OLS API EFO lookup	fuzzy	check if valid
Cardiac arrhytmias, COPD co-morbidities	http://www.ebi.ac.uk/efo/EFO_1001442	cardiac tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasms	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm	OLS API EFO lookup	match	
Benign neoplasm: Adrenal gland	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Adrenal gland (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0021511	benign neoplasm of adrenal gland	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Anus and anal canal (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon	http://www.ebi.ac.uk/efo/EFO_1000094	Ascending Colon Neuroendocrine Tumor G1	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Ascending colon (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000094	Ascending Colon Neuroendocrine Tumor G1	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of bone and articular cartilage	http://www.ebi.ac.uk/efo/EFO_0003820	Benign neoplasm of bone and articular cartilage	Zooma API lookup	match	
Benign neoplasm of bone and articular cartilage (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0000631	bone benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Long bones of lower limb (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0000952	cancer of long bone of lower limb	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Short bones of upper limb	http://purl.obolibrary.org/obo/HP_0009824	Upper limb undergrowth	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Short bones of upper limb (other cancers excluded from controls)	http://purl.obolibrary.org/obo/HP_0009824	Upper limb undergrowth	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of brain and other parts of central nervous system	http://www.ebi.ac.uk/efo/EFO_1000107	Benign neoplasm of brain and other parts of central nervous system	Zooma API lookup	match	
Benign neoplasm of brain and other parts of central nervous system (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0007199	central nervous system tuberculosis	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, supratentorial	http://www.ebi.ac.uk/efo/EFO_1000107	Benign Brain Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Brain, supratentorial (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0002071	supratentorial cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of breast	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm	EFO OBO	match	
Benign neoplasm of breast (other cancers excluded from controls)	http://purl.obolibrary.org/obo/MONDO_0000620	breast benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum	http://www.ebi.ac.uk/efo/EFO_0009255	cecal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Caecum (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Choroid (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000866	choroid cancer	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon	http://www.ebi.ac.uk/efo/EFO_0004288	colonic neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0002422	benign neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Colon, unspecified (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0000616	neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm of colon, rectum, anus and anal canal	http://www.ebi.ac.uk/efo/EFO_0003835	"""Benign neoplasm of colon, rectum, anus and anal canal"""	Zooma API lookup	match	
Benign neoplasm of colon, rectum, anus and anal canal (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_0003835	anal neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Benign neoplasm: Conjunctiva (other cancers excluded from controls)	http://www.ebi.ac.uk/efo/EFO_1000110	Benign Conjunctival Neoplasm	OLS API EFO lookup	fuzzy	check if valid
Other benign neoplasms of connective and other soft tissue	http://www.ebi.ac.uk/efo/EFO_1000541	Other benign neoplasms of connective and other soft tissue	Zooma API lookup	match	
