phenocode	name	category	n_cases	n_controls	path_bucket	path_https
AB1_CMV	Cytomegaloviral disease	I Certain infectious and parasitic diseases (AB1_)	270	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_CMV.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_CMV.gz
AB1_DERMATOPHYTOSIS	Dermatophytosis	I Certain infectious and parasitic diseases (AB1_)	1656	214816	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_DERMATOPHYTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_DERMATOPHYTOSIS.gz
AB1_EARLY_SYPHILIS	Early syphilis	I Certain infectious and parasitic diseases (AB1_)	165	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_EARLY_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_EARLY_SYPHILIS.gz
AB1_EBV	Infectious mononucleosis	I Certain infectious and parasitic diseases (AB1_)	1238	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_EBV.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_EBV.gz
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	10019	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_ERYSIPELAS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_ERYSIPELAS.gz
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	15255	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_GASTROENTERITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_GASTROENTERITIS_NOS.gz
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	167	218605	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_GHLAMY_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_GHLAMY_OTHER.gz
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	480	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_GONOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_GONOCOCCAL.gz
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	232	218560	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_HELMINTIASES.gz
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1007	217566	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_HEPATITIS_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_HEPATITIS_OTHER_VIRAL.gz
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	1595	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_HERPES_SIMPLEX.gz
AB1_HIV	Human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	357	218435	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_HIV.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_HIV.gz
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	157	218435	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_HIV_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_HIV_NOS.gz
AB1_INFECTIONS	Certain infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	57998	160794	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_INFECTIONS.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	21494	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_INTESTINAL_INFECTIONS.gz
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	173	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_LATE_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_LATE_SYPHILIS.gz
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	81	218466	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_MALARIA.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_MALARIA.gz
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	180	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_MEASLES.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_MEASLES.gz
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	128	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_MENINGOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_MENINGOCOCCAL.gz
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	436	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_MUMPS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_MUMPS.gz
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	3976	214816	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_MYCOSES.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	21132	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	134	217365	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_BACT_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_BACT_INOTHER.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	187	218605	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	333	218435	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_CONDITIONS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_CONDITIONS.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	1213	217579	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	188	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_MYCOBAC.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_MYCOBAC.gz
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	145	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_PROTOZOAL.gz
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	5373	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SEPSIS.gz
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	1182	217610	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SPIROCHAETAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SPIROCHAETAL.gz
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	224	214816	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SUPERF_MYCOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_SUPERF_MYCOSIS.gz
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	5126	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_VIRAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_OTHER_VIRAL.gz
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	123	217987	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_PARASITIC_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_PARASITIC_NOS.gz
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	"Pediculosis, acariasis and other infestations"	I Certain infectious and parasitic diseases (AB1_)	805	217987	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	140	218466	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_PNEUMOCYSTOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_PNEUMOCYSTOSIS.gz
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	230	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_POLIOMYELITIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_POLIOMYELITIS.gz
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	326	218466	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_PROTOZOAL.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_PROTOZOAL.gz
AB1_RESP_TUBERCU	Respiratry tuberculosis	I Certain infectious and parasitic diseases (AB1_)	849	217599	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU.gz
AB1_RESP_TUBERCU_CONF	"Respiratory tuberculosis, bacteriologically and histologically confirmed"	I Certain infectious and parasitic diseases (AB1_)	247	217599	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU_CONF.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU_CONF.gz
AB1_RESP_TUBERCU_NONCONF	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"	I Certain infectious and parasitic diseases (AB1_)	637	217599	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU_NONCONF.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_RESP_TUBERCU_NONCONF.gz
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	553	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_RUBELLA.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_RUBELLA.gz
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	597	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SALMONELLA_OTH.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SALMONELLA_OTH.gz
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	575	217987	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCABIES.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCABIES.gz
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	101	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCARLET_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCARLET_FEVER.gz
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	I Certain infectious and parasitic diseases (AB1_)	221	218571	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCHISTOSOMIASIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SCHISTOSOMIASIS.gz
AB1_SEPSIS	Septicaemia	I Certain infectious and parasitic diseases (AB1_)	6164	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEPSIS.gz
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	936	217489	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_INF_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_INF_NOS.gz
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	114	217489	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_POLIO.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_POLIO.gz
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	255	217489	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_TUBERCU.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULAE_TUBERCU.gz
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	1303	217489	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES.gz
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	5840	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEXUAL_TRANSMISSION.gz
AB1_SEXUAL_TRANSMISSION_NOS	"Other predominantly sexually transmitted diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3114	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEXUAL_TRANSMISSION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SEXUAL_TRANSMISSION_NOS.gz
AB1_SPIROCHE_OTHER	"Spirochaetal infections, other/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1132	217610	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SPIROCHE_OTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SPIROCHE_OTHER.gz
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	1090	197660	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_STREPTO_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_STREPTO_SEPSIS.gz
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	94	217365	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_STREPTSTAPHYCOCC_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_STREPTSTAPHYCOCC_INOTHER.gz
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)	350	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_SYPHILIS.gz
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)	96	218466	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_TOXOPLASMOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_TOXOPLASMOSIS.gz
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	133	212952	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_TRICHOMONIASIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_TRICHOMONIASIS.gz
AB1_TUBERCULOSIS	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)	1193	217599	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_TUBERCULOSIS.gz
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	I Certain infectious and parasitic diseases (AB1_)	337	217599	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_TUBERCU_OTH_ORG.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_TUBERCU_OTH_ORG.gz
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	166	218550	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_TULARAEMIA.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_TULARAEMIA.gz
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	710	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VARICELLA.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VARICELLA.gz
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)	290	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAAL_CONJUNCT.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAAL_CONJUNCT.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	1155	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_CNS.gz
AB1_VIRAL_ENCEPHALITIS_NOS	"Viral encephalitis, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	268	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_ENCEPHALITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_ENCEPHALITIS_NOS.gz
AB1_VIRAL_HEMOR_FEVER_NOS	"Viral haemorrhagic fevers, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1159	217342	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_HEMOR_FEVER_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_HEMOR_FEVER_NOS.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1226	217566	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_HEPATITIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	268	217365	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_INOTHER.gz
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)	533	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_MENINGITIS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_MENINGITIS.gz
AB1_VIRAL_NOS	"Other viral diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3043	213666	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_NOS.gz
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	4165	197298	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_OTHER_INTEST_INFECTIONS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	6936	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_VIRAL_SKIN_NOS	"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	528	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_SKIN_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_SKIN_NOS.gz
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)	1529	211856	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_WARTS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAL_WARTS.gz
AB1_VIRAN_CNS_INFECTIONS_NOS	"Viral infections of central nervous system, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	177	217637	gs://finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAN_CNS_INFECTIONS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r5/summary_stats/finngen_R5_AB1_VIRAN_CNS_INFECTIONS_NOS.gz
