phenocode	name	category	n_cases	n_controls	path_bucket	path_https
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	Infectious and parasitic diseases	3307	132331	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_SEXUAL_TRANSMISSION.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_SEXUAL_TRANSMISSION.gz
AB1_TUBERCULOSIS	Tuberculosis	Infectious and parasitic diseases	731	134907	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_TUBERCULOSIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_TUBERCULOSIS.gz
AB1_VIRAL_CNS	Viral infections of the central nervous system	Infectious and parasitic diseases	594	135044	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_CNS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_CNS.gz
AB1_VIRAL_HEPATITIS	Viral hepatitis	Infectious and parasitic diseases	623	135015	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_HEPATITIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_HEPATITIS.gz
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	Infectious and parasitic diseases	2991	132647	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_VIRAL_SKIN_MUCOUS_MEMBRANE.gz
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	Infectious and parasitic diseases	160	135478	gs://finngen-public-data-r3/summary_stats/finngen_r3_AB1_ZOONOTIC_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AB1_ZOONOTIC_BACTERIAL.gz
ABDOMINALPAIN	Pain in abdomen/pelvis	Other	28753	84181	gs://finngen-public-data-r3/summary_stats/finngen_r3_ABDOMINALPAIN.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ABDOMINALPAIN.gz
ABDOM_HERNIA	Hernia of abodminal wall	Other	4393	131245	gs://finngen-public-data-r3/summary_stats/finngen_r3_ABDOM_HERNIA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ABDOM_HERNIA.gz
ABDOM_HERNIA_POSTOP	Hernia of abodminal wall, postoperative	Other	1326	88177	gs://finngen-public-data-r3/summary_stats/finngen_r3_ABDOM_HERNIA_POSTOP.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ABDOM_HERNIA_POSTOP.gz
ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	Other	23533	101428	gs://finngen-public-data-r3/summary_stats/finngen_r3_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ACUTE_RESPIRATORY_INFECTIONS.gz
AD_AM	Alzheimer’s disease (Atypical or mixed)	Other	507	133068	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_AM.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_AM.gz
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more controls excluded)	Other	507	72206	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_AM_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_AM_EXMORE.gz
AD_EO	Alzheimer’s disease (Early onset)	Other	434	133066	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_EO.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_EO.gz
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more controls excluded)	Other	434	72206	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_EO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_EO_EXMORE.gz
AD_LO	Alzheimer’s disease (Late onset)	Other	1798	133057	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_LO.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_LO.gz
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more controls excluded)	Other	1798	72206	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_LO_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_LO_EXMORE.gz
AD_U	Alzheimer’s disease (undefined)	Other	135	133070	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_U.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_U.gz
AD_U_EXMORE	Alzheimer’s disease (undefined) (more controls excluded)	Other	135	72206	gs://finngen-public-data-r3/summary_stats/finngen_r3_AD_U_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AD_U_EXMORE.gz
ALCOETHTOXIC	Toxic effect of ethanol	Other	426	135212	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOETHTOXIC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOETHTOXIC.gz
ALCOGASTRITIS	Alcoholic gastritis	Other	166	135472	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOGASTRITIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOGASTRITIS.gz
ALCOHOLACUTE10	Acute alcohol intoxication	Other	1868	133384	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOLACUTE10.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOLACUTE10.gz
ALCOHOLMENTAL	Mental and behavioural disorders due to alcohol, excluding acute intoxication	Other	5699	129939	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOLMENTAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOLMENTAL.gz
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	Other	7851	127787	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOL_RELATED.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOHOL_RELATED.gz
ALCOLIVER	Alcoholic liver disease	Other	849	134789	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOLIVER.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOLIVER.gz
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Other	209	135429	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCONEURODEGEN.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCONEURODEGEN.gz
ALCOPANCACU	Acohol-induced acute pancreatitis	Other	274	135364	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOPANCACU.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOPANCACU.gz
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Other	549	135089	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOPANCCHRON.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOPANCCHRON.gz
ALCOTOXIC	Toxic effect of unspecified or or other (than ethanol) alcohols	Other	224	135414	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCOTOXIC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCOTOXIC.gz
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Other	929	134709	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALCO_PRESCRIPTION.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALCO_PRESCRIPTION.gz
ALLERG_ASTHMA	Allergic asthma (mode)	Other	2816	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_ASTHMA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_ASTHMA.gz
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)	Other	2816	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_ASTHMA_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_ASTHMA_EXMORE.gz
ALLERG_RHINITIS	Allergic rhinitis	Other	3089	132049	gs://finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_RHINITIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ALLERG_RHINITIS.gz
AMN2	Transient global amnesia	Other	785	130045	gs://finngen-public-data-r3/summary_stats/finngen_r3_AMN2.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AMN2.gz
ANOSMIA	Anosmia	Other	245	40375	gs://finngen-public-data-r3/summary_stats/finngen_r3_ANOSMIA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ANOSMIA.gz
ANTIDEPRESSANTS	Depression medications	Other	35420	40375	gs://finngen-public-data-r3/summary_stats/finngen_r3_ANTIDEPRESSANTS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ANTIDEPRESSANTS.gz
APHADYSPHAGIA	Aphagia and dysphagia	Other	1973	133665	gs://finngen-public-data-r3/summary_stats/finngen_r3_APHADYSPHAGIA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_APHADYSPHAGIA.gz
APPENDACUT_COMPLIC	Acute appendicitis, with complications	Other	2386	125215	gs://finngen-public-data-r3/summary_stats/finngen_r3_APPENDACUT_COMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_APPENDACUT_COMPLIC.gz
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	Other	7259	125215	gs://finngen-public-data-r3/summary_stats/finngen_r3_APPENDACUT_NOCOMPLIC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_APPENDACUT_NOCOMPLIC.gz
APPENDICITIS_BROAD	Appendicitis, broad definition	Other	10346	125215	gs://finngen-public-data-r3/summary_stats/finngen_r3_APPENDICITIS_BROAD.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_APPENDICITIS_BROAD.gz
ARTHRO_SPEC	Other specific arthropathies	Other	168	108694	gs://finngen-public-data-r3/summary_stats/finngen_r3_ARTHRO_SPEC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ARTHRO_SPEC.gz
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Other	23533	101428	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ACUTE_RESPIRATORY_INFECTIONS.gz
ASTHMA_ALLERG	Asthma and allergy	Other	1233	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ALLERG.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ALLERG.gz
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	Other	1233	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ALLERG_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_ALLERG_EXMORE.gz
ASTHMA_CHILD	Childhood asthma (age<16)	Other	1442	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_CHILD.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_CHILD.gz
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	Other	1442	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_CHILD_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_CHILD_EXMORE.gz
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Other	716	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_EOSINOPHIL_SUGG.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_EOSINOPHIL_SUGG.gz
ASTHMA_HOSPITAL_MAIN	Asthma, hospital admissions , main diagnosis only	Other	11330	124308	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_HOSPITAL_MAIN.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_HOSPITAL_MAIN.gz
ASTHMA_INFECTIONS	Asthma-related infections	Other	34210	101428	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_INFECTIONS.gz
ASTHMA_MIXED	Asthma mixed form (mode)	Other	388	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MIXED.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MIXED.gz
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)	Other	388	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MIXED_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MIXED_EXMORE.gz
ASTHMA_MODE	Asthma (mode)	Other	11484	88114	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MODE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_MODE.gz
ASTHMA_NAS	Asthma, unspecified (mode)	Other	5467	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NAS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NAS.gz
ASTHMA_NAS_EXMORE	Asthma, unspecified (mode) (more controls excluded)	Other	5467	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NAS_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NAS_EXMORE.gz
ASTHMA_NONALLERG	Non-allergic asthma	Other	1938	115615	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NONALLERG.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NONALLERG.gz
ASTHMA_NOS	Undetermined asthma	Other	992	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NOS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NOS.gz
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)	Other	992	85305	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NOS_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_NOS_EXMORE.gz
ASTHMA_OBESITY	Obesity related asthma	Other	2274	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_OBESITY.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_OBESITY.gz
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	Other	307	87915	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_OPPORTUNIST_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_OPPORTUNIST_INFECTIONS.gz
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Other	15892	101428	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_PNEUMONIA.gz
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	Other	15947	119691	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_PNEUMONIA_AND_SEPSIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_PNEUMONIA_AND_SEPSIS.gz
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	Other	241	101428	gs://finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_SEPTICHE_PNEUMONIA.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ASTHMA_SEPTICHE_PNEUMONIA.gz
ATOPIC_STRICT	Atopic  dermatitis, strict definition	Other	2921	132591	gs://finngen-public-data-r3/summary_stats/finngen_r3_ATOPIC_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ATOPIC_STRICT.gz
ATOPIC_STRICT_REIMB	Atopic dermatitis, strict definition with reimbursement	Other	3047	124112	gs://finngen-public-data-r3/summary_stats/finngen_r3_ATOPIC_STRICT_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_ATOPIC_STRICT_REIMB.gz
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Other	7201	128437	gs://finngen-public-data-r3/summary_stats/finngen_r3_AUD_SWEDISH.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_AUD_SWEDISH.gz
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	Other	534	134057	gs://finngen-public-data-r3/summary_stats/finngen_r3_BACT_INTEST_INFECTION_NOS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_BACT_INTEST_INFECTION_NOS.gz
BRONCHITIS	Bronchitis	Other	15536	120102	gs://finngen-public-data-r3/summary_stats/finngen_r3_BRONCHITIS.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_BRONCHITIS.gz
C3_BLADDER	Malignant neoplasm of bladder	Neoplasms	603	135035	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BLADDER.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BLADDER.gz
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (other cancers excluded from controls)	Neoplasms	603	120006	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BLADDER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BLADDER_EXALLC.gz
C3_BRAIN	Malignant neoplasm of brain	Neoplasms	215	135423	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BRAIN.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BRAIN.gz
C3_BRAIN_EXALLC	Malignant neoplasm of brain (other cancers excluded from controls)	Neoplasms	215	120006	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BRAIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BRAIN_EXALLC.gz
C3_BREAST	Malignant neoplasm of breast	Neoplasms	3920	72468	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BREAST.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BREAST.gz
C3_BREAST_EXALLC	Malignant neoplasm of breast (other cancers excluded from controls)	Neoplasms	3920	68070	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BREAST_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BREAST_EXALLC.gz
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	Neoplasms	914	134724	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BRONCHUS_LUNG.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BRONCHUS_LUNG.gz
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (other cancers excluded from controls)	Neoplasms	914	119282	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_BRONCHUS_LUNG_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_BRONCHUS_LUNG_EXALLC.gz
C3_CANCER	Malignant neoplasm	Neoplasms	15632	120006	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_CANCER.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_CANCER.gz
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	Neoplasms	103	76285	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_CERVIX_UTERI.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_CERVIX_UTERI.gz
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (other cancers excluded from controls)	Neoplasms	103	68070	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_CERVIX_UTERI_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_CERVIX_UTERI_EXALLC.gz
C3_CLL	Chronic lymphocytic leukaemia	Neoplasms	137	135501	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_CLL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_CLL.gz
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (other cancers excluded from controls)	Neoplasms	137	120004	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_CLL_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_CLL_EXALLC.gz
C3_COLON	Malignant neoplasm of colon	Neoplasms	968	134670	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON.gz
C3_COLON_ADENO	Colon adenocarcinoma	Neoplasms	763	134875	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_ADENO.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_ADENO.gz
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (other cancers excluded from controls)	Neoplasms	763	120006	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_ADENO_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_ADENO_EXALLC.gz
C3_COLON_EXALLC	Malignant neoplasm of colon (other cancers excluded from controls)	Neoplasms	968	120006	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_COLON_EXALLC.gz
C3_COLORECTAL	Colorectal cancer	Neoplasms	1573	134065	gs://finngen-public-data-r3/summary_stats/finngen_r3_C3_COLORECTAL.gz	https://storage.googleapis.com/finngen-public-data-r3/summary_stats/finngen_r3_C3_COLORECTAL.gz
